,TF,Target,Label
0,11,1493,1
1,11,723,1
2,11,1142,1
3,11,865,1
4,11,516,1
5,11,904,1
6,11,630,1
7,11,690,1
8,11,260,1
9,11,1326,1
10,11,580,1
11,11,1244,1
12,11,919,1
13,11,172,1
14,11,20,1
15,11,385,1
16,11,1580,1
17,11,19,1
18,11,1228,1
19,11,1501,1
20,11,1576,1
21,11,287,1
22,11,571,1
23,11,722,1
24,11,1427,1
25,11,1260,1
26,11,548,1
27,11,1023,1
28,11,622,1
29,11,608,1
30,11,1102,1
31,11,1536,1
32,11,311,1
33,11,1385,1
34,11,962,1
35,11,648,1
36,11,1242,1
37,11,1488,1
38,11,529,1
39,11,88,1
40,11,950,1
41,11,1243,1
42,11,1597,1
43,11,132,1
44,11,1351,1
45,11,1437,1
46,11,1314,1
47,11,1475,1
48,11,842,1
49,11,1213,1
50,11,966,1
51,11,1282,1
52,11,1465,1
53,11,631,1
54,11,1145,1
55,11,345,1
56,32,420,1
57,32,19,1
58,32,1146,1
59,32,1207,1
60,32,950,1
61,32,1576,1
62,32,989,1
63,32,1523,1
64,32,1255,1
65,32,1441,1
66,32,898,1
67,32,770,1
68,32,792,1
69,32,454,1
70,32,966,1
71,32,1206,1
72,32,901,1
73,32,99,1
74,32,22,1
75,32,1618,1
76,32,985,1
77,32,104,1
78,32,704,1
79,32,10,1
80,32,1414,1
81,32,713,1
82,66,802,1
83,66,651,1
84,66,1086,1
85,66,420,1
86,66,484,1
87,66,575,1
88,66,416,1
89,66,1619,1
90,66,1233,1
91,66,807,1
92,66,471,1
93,66,1320,1
94,66,529,1
95,66,1111,1
96,66,1046,1
97,66,868,1
98,66,1148,1
99,66,224,1
100,66,435,1
101,66,1129,1
102,66,371,1
103,66,1606,1
104,66,116,1
105,66,1495,1
106,66,631,1
107,66,397,1
108,66,770,1
109,66,531,1
110,66,1276,1
111,66,1436,1
112,66,1380,1
113,66,135,1
114,66,222,1
115,66,735,1
116,66,643,1
117,66,386,1
118,66,890,1
119,66,352,1
120,66,888,1
121,66,684,1
122,66,79,1
123,66,293,1
124,66,300,1
125,66,666,1
126,66,89,1
127,66,972,1
128,66,467,1
129,66,1134,1
130,66,753,1
131,66,1030,1
132,66,573,1
133,66,838,1
134,66,919,1
135,66,449,1
136,66,994,1
137,66,553,1
138,66,694,1
139,66,1008,1
140,66,1611,1
141,66,623,1
142,66,539,1
143,66,158,1
144,66,563,1
145,66,657,1
146,66,675,1
147,66,764,1
148,66,1152,1
149,66,1234,1
150,66,273,1
151,66,399,1
152,66,965,1
153,66,971,1
154,66,1468,1
155,66,378,1
156,66,146,1
157,66,934,1
158,66,1265,1
159,66,1438,1
160,66,901,1
161,66,966,1
162,66,153,1
163,66,760,1
164,66,1005,1
165,66,1277,1
166,66,785,1
167,66,121,1
