,TF,Target,Label
0,4,437,1
1,4,623,1
2,4,218,1
3,4,6,1
4,4,894,1
5,4,121,1
6,4,795,1
7,8,330,1
8,14,360,1
9,14,206,1
10,14,609,1
11,14,67,1
12,14,906,1
13,14,521,1
14,14,343,1
15,14,391,1
16,14,488,1
17,14,683,1
18,14,100,1
19,14,578,1
20,14,348,1
21,16,46,1
22,19,433,1
23,19,228,1
24,19,467,1
25,19,741,1
26,20,795,1
27,21,24,1
28,21,245,1
29,21,706,1
30,24,282,1
31,24,261,1
32,24,845,1
33,24,609,1
34,27,121,1
35,27,498,1
36,27,866,1
37,27,177,1
38,27,125,1
39,30,565,1
40,31,609,1
41,31,698,1
42,31,330,1
43,31,794,1
44,31,262,1
45,31,213,1
46,31,413,1
47,31,699,1
48,31,39,1
49,31,241,1
50,31,107,1
51,31,97,1
52,31,507,1
53,31,828,1
54,31,206,1
55,31,665,1
56,35,513,1
57,35,164,1
58,35,336,1
59,35,797,1
60,35,606,1
61,35,196,1
62,35,678,1
63,35,423,1
64,35,40,1
65,35,452,1
66,35,125,1
67,35,53,1
68,35,301,1
69,35,512,1
70,35,306,1
71,38,494,1
72,38,40,1
73,40,575,1
74,40,618,1
75,40,264,1
76,40,365,1
77,40,881,1
78,40,38,1
79,40,257,1
80,40,423,1
81,41,266,1
82,41,815,1
83,42,891,1
84,45,884,1
85,52,219,1
86,52,868,1
87,57,270,1
88,69,223,1
89,69,450,1
90,69,107,1
91,69,76,1
92,69,751,1
93,69,576,1
94,69,555,1
95,69,100,1
96,69,121,1
97,69,603,1
98,69,908,1
99,69,705,1
100,69,117,1
101,69,526,1
102,69,3,1
103,69,92,1
104,69,254,1
105,69,17,1
106,69,568,1
107,69,765,1
108,74,330,1
109,74,879,1
110,74,366,1
111,74,65,1
112,74,515,1
113,74,580,1
114,74,450,1
115,74,455,1
116,75,52,1
117,76,651,1
118,77,32,1
119,77,757,1
120,77,713,1
121,77,521,1
122,77,455,1
123,77,683,1
124,77,514,1
125,77,801,1
126,77,135,1
127,77,56,1
128,77,87,1
129,77,450,1
130,77,481,1
131,77,241,1
132,77,27,1
133,77,584,1
134,77,901,1
135,77,331,1
136,77,489,1
137,77,896,1
138,77,579,1
139,77,76,1
140,77,797,1
141,77,788,1
142,77,340,1
143,77,835,1
144,77,80,1
145,77,439,1
146,77,377,1
147,77,866,1
148,77,244,1
149,77,841,1
150,77,75,1
151,77,664,1
152,80,145,1
153,81,330,1
154,81,795,1
155,85,581,1
156,85,508,1
157,85,883,1
158,85,343,1
159,85,789,1
160,85,569,1
161,85,478,1
162,85,773,1
163,85,483,1
164,85,37,1
165,85,290,1
166,85,463,1
167,85,220,1
168,85,307,1
169,85,609,1
170,85,829,1
171,85,596,1
172,85,312,1
173,85,896,1
174,85,714,1
175,85,115,1
176,85,854,1
177,85,342,1
178,85,583,1
179,85,402,1
180,85,114,1
181,85,216,1
182,85,258,1
183,85,749,1
184,85,276,1
185,85,425,1
186,85,448,1
187,85,526,1
188,85,6,1
189,85,88,1
190,85,345,1
191,85,336,1
192,85,221,1
193,85,721,1
194,85,52,1
195,85,682,1
196,85,788,1
197,85,613,1
198,85,102,1
199,85,498,1
200,85,794,1
201,85,244,1
202,85,523,1
203,85,895,1
204,85,594,1
205,85,561,1
206,85,150,1
207,85,753,1
208,85,704,1
209,85,522,1
210,85,673,1
211,85,665,1
212,85,432,1
213,85,239,1
214,85,174,1
215,85,694,1
216,85,168,1
217,85,600,1
218,85,585,1
219,85,120,1
220,85,121,1
221,85,20,1
222,85,262,1
223,85,446,1
224,85,77,1
225,85,634,1
226,85,558,1
227,85,135,1
228,85,800,1
229,85,205,1
230,85,377,1
231,85,76,1
232,85,403,1
233,85,589,1
234,85,861,1
235,85,695,1
236,85,450,1
237,85,717,1
238,85,860,1
239,85,41,1
240,85,371,1
241,85,538,1
242,85,22,1
243,85,40,1
244,85,279,1
245,85,770,1
246,85,482,1
247,85,859,1
248,85,552,1
249,85,669,1
250,85,157,1
251,85,365,1
252,85,670,1
253,85,282,1
254,85,787,1
255,85,453,1
256,85,827,1
257,85,212,1
258,85,265,1
259,85,588,1
260,85,141,1
261,85,392,1
262,85,110,1
263,85,517,1
264,85,160,1
265,85,149,1
266,85,658,1
267,87,566,1
268,87,896,1
269,87,282,1
270,87,35,1
271,87,408,1
272,87,228,1
273,87,599,1
274,87,795,1
275,87,682,1
276,87,627,1
277,87,560,1
278,87,27,1
279,87,158,1
280,87,548,1
281,87,76,1
282,87,609,1
283,87,348,1
284,87,275,1
285,87,392,1
286,87,343,1
287,87,806,1
288,87,575,1
289,87,906,1
290,87,866,1
291,87,276,1
292,87,39,1
293,87,861,1
294,87,800,1
295,87,4,1
296,87,410,1
297,87,541,1
298,87,337,1
299,87,634,1
300,87,770,1
301,87,652,1
302,87,141,1
303,87,81,1
304,91,706,1
305,95,330,1
306,95,40,1
307,100,618,1
308,102,795,1
309,102,325,1
310,102,846,1
311,102,330,1
312,102,415,1
313,102,817,1
314,102,695,1
315,103,369,1
316,108,871,1
317,110,509,1
318,110,857,1
319,110,41,1
320,110,276,1
321,110,356,1
322,110,330,1
323,110,437,1
324,110,906,1
325,110,770,1
326,110,900,1
327,110,295,1
328,110,441,1
329,110,828,1
330,111,74,1
331,117,410,1
332,117,121,1
333,119,834,1
334,121,280,1
335,121,377,1
336,121,74,1
337,121,877,1
338,121,539,1
339,121,20,1
340,121,566,1
341,121,276,1
342,121,141,1
343,121,676,1
344,121,553,1
345,121,795,1
346,121,125,1
347,121,761,1
348,121,662,1
349,121,618,1
350,121,190,1
351,121,384,1
352,121,24,1
353,121,528,1
354,121,817,1
355,121,326,1
356,121,27,1
357,121,158,1
358,121,891,1
359,121,47,1
360,121,22,1
361,121,4,1
362,121,170,1
363,121,514,1
364,121,55,1
365,121,498,1
366,121,135,1
367,121,729,1
368,121,627,1
369,121,531,1
