,TF,Target,Label
0,1,311,1
1,1,169,1
2,6,943,1
3,6,360,1
4,6,542,1
5,6,201,1
6,6,763,1
7,10,796,1
8,10,492,1
9,14,942,1
10,20,104,1
11,20,682,1
12,20,817,1
13,26,410,1
14,29,281,1
15,37,828,1
16,38,811,1
17,38,470,1
18,38,538,1
19,38,799,1
20,38,319,1
21,38,793,1
22,38,924,1
23,38,614,1
24,38,817,1
25,38,556,1
26,44,761,1
27,47,637,1
28,48,736,1
29,48,763,1
30,54,301,1
31,54,319,1
32,54,445,1
33,55,485,1
34,60,794,1
35,60,759,1
36,60,837,1
37,66,519,1
38,66,393,1
39,67,821,1
40,67,614,1
41,68,360,1
42,68,138,1
43,68,150,1
44,68,327,1
45,68,48,1
46,68,557,1
47,68,335,1
48,68,33,1
49,68,660,1
50,68,98,1
51,68,258,1
52,68,674,1
53,68,634,1
54,68,338,1
55,68,255,1
56,68,829,1
57,68,777,1
58,68,593,1
59,68,134,1
60,68,159,1
61,68,423,1
62,68,281,1
63,68,316,1
64,68,329,1
65,68,311,1
66,68,149,1
67,68,665,1
68,68,772,1
69,68,805,1
70,68,537,1
71,68,224,1
72,68,697,1
73,68,774,1
74,68,649,1
75,68,708,1
76,68,639,1
77,68,389,1
78,68,368,1
79,68,484,1
80,68,236,1
81,68,807,1
82,68,924,1
83,68,661,1
84,68,539,1
85,68,349,1
86,68,764,1
87,68,393,1
88,68,209,1
89,68,915,1
90,68,264,1
91,68,364,1
92,68,252,1
93,68,625,1
94,68,614,1
95,68,321,1
96,68,780,1
97,68,358,1
98,68,29,1
99,68,189,1
100,68,345,1
101,68,331,1
102,68,637,1
103,68,269,1
104,68,60,1
105,68,61,1
106,68,289,1
107,68,906,1
108,68,651,1
109,68,461,1
110,68,79,1
111,68,894,1
112,68,87,1
113,68,947,1
114,68,308,1
115,68,845,1
116,68,17,1
117,68,384,1
118,68,746,1
119,68,278,1
120,68,72,1
121,68,172,1
122,68,574,1
123,68,226,1
124,68,412,1
125,68,81,1
126,68,363,1
127,68,692,1
128,69,281,1
129,69,227,1
130,70,709,1
131,71,676,1
132,75,6,1
133,75,671,1
134,75,474,1
135,75,614,1
136,78,281,1
137,81,276,1
138,81,328,1
139,85,942,1
140,85,868,1
141,86,172,1
142,86,292,1
143,86,836,1
144,86,588,1
145,86,138,1
146,86,143,1
147,86,236,1
148,86,405,1
149,86,20,1
150,86,147,1
151,86,18,1
152,92,598,1
153,93,503,1
154,93,821,1
155,97,492,1
156,101,817,1
157,101,250,1
158,104,474,1
159,104,602,1
160,104,529,1
161,104,817,1
162,108,265,1
163,109,905,1
164,113,99,1
165,113,799,1
166,113,793,1
167,113,902,1
168,113,538,1
169,119,685,1
170,119,283,1
171,119,888,1
172,119,56,1
173,119,486,1
174,119,232,1
175,119,848,1
176,119,719,1
177,119,556,1
