,TF,Target,Label
0,0,88,1
1,0,780,1
2,2,298,1
3,2,822,1
4,4,688,1
5,4,1032,1
6,4,1069,1
7,4,372,1
8,5,1175,1
9,7,986,1
10,23,563,1
11,31,1204,1
12,31,1120,1
13,31,726,1
14,31,629,1
15,31,616,1
16,31,936,1
17,31,702,1
18,31,497,1
19,31,857,1
20,31,484,1
21,31,81,1
22,31,1116,1
23,31,434,1
24,31,423,1
25,31,176,1
26,31,818,1
27,31,921,1
28,31,1246,1
29,31,521,1
30,31,909,1
31,31,1293,1
32,34,4,1
33,34,372,1
34,34,1290,1
35,34,688,1
36,34,1038,1
37,39,348,1
38,44,744,1
39,44,541,1
40,47,210,1
41,52,1053,1
42,57,1242,1
43,57,798,1
44,57,187,1
45,60,915,1
46,68,871,1
47,81,1225,1
48,81,422,1
49,81,362,1
50,81,1112,1
51,81,358,1
52,81,622,1
53,81,119,1
54,81,437,1
55,81,1015,1
56,81,1032,1
57,81,200,1
58,81,926,1
59,81,1303,1
60,81,351,1
61,81,1038,1
62,81,641,1
63,81,1178,1
64,81,131,1
65,81,1108,1
66,81,719,1
67,81,905,1
68,81,359,1
69,81,591,1
70,81,1061,1
71,81,86,1
72,81,716,1
73,81,434,1
74,81,869,1
75,81,138,1
76,81,354,1
77,81,65,1
78,81,646,1
79,82,849,1
80,82,941,1
81,82,324,1
82,82,538,1
83,82,766,1
84,82,1297,1
85,82,505,1
86,82,612,1
87,82,902,1
88,82,590,1
89,88,1219,1
90,88,780,1
91,88,1123,1
92,90,543,1
93,98,138,1
94,98,952,1
95,98,688,1
96,98,6,1
97,98,186,1
98,98,922,1
99,98,906,1
100,98,226,1
101,98,859,1
102,98,440,1
103,98,749,1
104,98,767,1
105,98,719,1
106,98,682,1
107,98,16,1
108,98,990,1
109,98,250,1
110,105,755,1
111,105,944,1
112,105,322,1
113,105,1066,1
114,105,849,1
115,105,907,1
116,105,505,1
117,105,902,1
118,105,879,1
119,105,590,1
120,105,271,1
121,106,628,1
122,106,182,1
123,106,857,1
124,106,390,1
125,106,497,1
126,106,9,1
127,106,1242,1
128,106,146,1
129,106,925,1
130,108,1023,1
131,116,1038,1
132,116,818,1
133,116,629,1
134,116,1287,1
135,118,434,1
136,118,1242,1
137,137,849,1
138,137,1110,1
139,144,18,1
140,144,716,1
141,144,440,1
142,144,804,1
143,144,929,1
144,144,1293,1
145,144,16,1
146,144,1242,1
147,146,942,1
148,146,986,1
149,146,464,1
150,146,106,1
151,150,1085,1
152,150,505,1
153,150,941,1
154,150,322,1
155,150,1238,1
156,150,292,1
157,150,365,1
158,150,467,1
159,150,881,1
160,150,849,1
161,150,538,1
162,150,324,1
163,150,1237,1
164,150,1066,1
165,150,477,1
166,150,879,1
167,161,323,1
168,161,44,1
169,161,554,1
170,161,739,1
171,161,110,1
172,161,433,1
173,161,276,1
174,161,693,1
175,161,1041,1
176,161,502,1
177,161,330,1
178,161,697,1
179,161,1115,1
180,161,814,1
181,161,469,1
182,161,107,1
183,161,228,1
184,161,291,1
185,161,1113,1
186,161,513,1
187,161,1257,1
188,161,367,1
189,161,1030,1
190,170,447,1
191,170,1242,1
192,170,638,1
193,170,1144,1
194,170,802,1
195,173,631,1
196,173,1143,1
197,173,915,1
198,173,629,1
199,179,623,1
200,182,9,1
201,182,841,1
202,182,434,1
203,182,106,1
204,182,1290,1
205,182,628,1
206,182,641,1
207,182,312,1
208,182,275,1
209,182,587,1
210,186,573,1
211,186,1256,1
212,186,34,1
213,196,508,1
214,198,367,1
215,206,685,1
216,210,1098,1
217,210,798,1
218,210,813,1
219,210,876,1
220,210,93,1
221,210,1293,1
222,210,1052,1
223,210,262,1
224,210,1281,1
225,210,1236,1
226,210,1047,1
227,210,953,1
228,210,442,1
229,210,1192,1
230,210,563,1
231,210,1063,1
232,210,956,1
233,210,1032,1
234,210,80,1
235,210,285,1
236,210,543,1
237,210,312,1
238,210,857,1
239,210,619,1
240,210,129,1
241,210,801,1
242,210,367,1
243,210,610,1
244,210,422,1
245,210,802,1
246,210,497,1
247,210,184,1
248,210,1054,1
249,210,828,1
250,210,1291,1
251,210,1253,1
252,210,456,1
253,210,1123,1
254,210,748,1
255,210,1050,1
256,216,502,1
257,219,957,1
258,219,508,1
259,226,1312,1
260,226,797,1
261,226,1112,1
262,226,925,1
263,226,906,1
264,226,1296,1
265,226,1050,1
266,226,375,1
267,226,859,1
268,226,161,1
269,226,18,1
270,226,952,1
271,226,749,1
272,226,6,1
273,226,250,1
274,226,767,1
275,226,719,1
276,226,929,1
277,226,1208,1
278,226,229,1
279,226,420,1
280,226,186,1
281,226,916,1
282,237,914,1
283,239,254,1
284,239,1293,1
285,239,687,1
286,239,794,1
287,239,1023,1
288,239,957,1
289,239,591,1
290,250,1219,1
291,254,1023,1
292,254,687,1
293,254,239,1
294,254,1114,1
295,258,578,1
296,258,378,1
297,258,797,1
298,258,989,1
299,258,1258,1
300,258,783,1
301,258,1277,1
302,258,532,1
303,258,936,1
304,258,1169,1
305,258,706,1
306,258,1045,1
307,258,1199,1
308,258,1105,1
309,258,757,1
310,258,746,1
311,258,1037,1
312,258,1054,1
313,258,682,1
314,258,359,1
315,258,591,1
316,258,725,1
317,258,543,1
318,258,865,1
319,258,794,1
320,261,288,1
321,265,761,1
322,265,634,1
323,265,1267,1
324,265,642,1
325,275,628,1
326,275,841,1
327,275,106,1
328,275,182,1
329,275,1227,1
330,275,925,1
331,275,377,1
332,288,902,1
333,288,137,1
334,288,443,1
335,288,477,1
336,288,1149,1
337,288,515,1
338,288,879,1
339,288,324,1
340,288,849,1
341,291,1038,1
342,292,941,1
343,292,1019,1
344,292,324,1
345,292,82,1
346,292,813,1
347,292,74,1
348,292,590,1
349,292,150,1
350,292,881,1
351,292,902,1
352,301,926,1
353,301,1178,1
354,301,716,1
355,301,597,1
356,308,921,1
357,308,365,1
358,308,929,1
359,308,440,1
360,310,1114,1
361,310,403,1
362,310,957,1
363,310,239,1
364,310,794,1
365,310,687,1
366,310,591,1
367,312,182,1
368,312,226,1
369,312,1305,1
370,312,1320,1
371,317,1310,1
372,317,726,1
373,317,367,1
374,322,881,1
375,322,755,1
376,322,467,1
377,322,590,1
378,322,944,1
379,322,849,1
380,322,324,1
381,322,879,1
382,322,1237,1
383,322,548,1
384,322,1066,1
385,322,902,1
386,323,951,1
387,324,505,1
388,324,1320,1
389,324,1066,1
390,324,959,1
391,324,590,1
392,324,150,1
393,324,365,1
394,324,766,1
395,324,418,1
396,324,477,1
397,324,902,1
398,324,467,1
399,324,105,1
400,324,1053,1
401,324,1019,1
402,324,538,1
403,324,322,1
404,324,755,1
405,324,288,1
406,324,1238,1
407,333,627,1
408,336,573,1
409,341,143,1
410,341,1055,1
411,341,234,1
412,341,706,1
413,341,647,1
414,341,1024,1
415,341,773,1
416,341,238,1
417,341,1292,1
418,341,530,1
419,341,320,1
420,341,875,1
421,341,1207,1
422,353,1038,1
423,357,1266,1
424,357,182,1
425,357,722,1
426,357,1290,1
427,365,1182,1
428,365,150,1
429,365,538,1
430,365,849,1
431,365,31,1
432,365,1085,1
433,365,881,1
434,365,324,1
435,367,204,1
436,367,210,1
437,367,6,1
438,367,973,1
439,367,73,1
440,367,1037,1
441,367,743,1
442,367,293,1
443,367,422,1
444,367,792,1
445,367,5,1
446,367,148,1
447,367,562,1
448,367,1291,1
449,367,915,1
450,367,573,1
451,367,884,1
452,367,1242,1
