,TF,Target,Label
0,2,360,1
1,2,355,1
2,2,828,1
3,2,88,1
4,2,121,1
5,2,1080,1
6,2,781,1
7,5,631,1
8,5,611,1
9,5,378,1
10,5,883,1
11,5,1108,1
12,5,82,1
13,5,223,1
14,5,556,1
15,5,357,1
16,5,355,1
17,5,698,1
18,5,289,1
19,5,306,1
20,6,410,1
21,7,483,1
22,7,486,1
23,7,88,1
24,8,483,1
25,9,732,1
26,9,450,1
27,10,1050,1
28,12,585,1
29,12,670,1
30,12,717,1
31,12,711,1
32,12,780,1
33,12,299,1
34,12,754,1
35,12,316,1
36,12,112,1
37,12,356,1
38,12,1092,1
39,12,1048,1
40,12,262,1
41,12,1108,1
42,12,1112,1
43,12,416,1
44,12,528,1
45,12,744,1
46,13,1092,1
47,13,361,1
48,13,781,1
49,13,110,1
50,15,706,1
51,15,549,1
52,15,1106,1
53,15,21,1
54,16,88,1
55,16,817,1
56,19,95,1
57,19,384,1
58,19,88,1
59,19,650,1
60,19,872,1
61,19,74,1
62,19,172,1
63,19,1103,1
64,19,670,1
65,19,794,1
66,20,939,1
67,20,543,1
68,20,44,1
69,20,461,1
70,20,88,1
71,21,426,1
72,21,15,1
73,21,99,1
74,22,191,1
75,24,201,1
76,25,630,1
77,25,279,1
78,25,275,1
79,25,1009,1
80,25,445,1
81,25,100,1
82,28,1050,1
83,28,329,1
84,28,389,1
85,28,978,1
86,28,465,1
87,28,105,1
88,28,889,1
89,28,546,1
90,31,35,1
91,31,865,1
92,31,634,1
93,31,543,1
94,35,1115,1
95,35,926,1
96,37,1031,1
97,37,753,1
98,40,91,1
99,40,510,1
100,40,1092,1
101,40,436,1
102,40,781,1
103,40,19,1
104,40,1028,1
105,40,872,1
106,48,309,1
107,48,703,1
108,48,1050,1
109,48,463,1
110,49,560,1
111,49,841,1
112,49,243,1
113,50,1115,1
114,50,996,1
115,50,249,1
116,50,623,1
117,50,483,1
118,55,151,1
119,58,348,1
120,58,483,1
121,58,1092,1
122,58,828,1
123,59,817,1
124,59,431,1
125,59,403,1
126,59,1094,1
127,59,266,1
128,59,426,1
129,59,395,1
130,59,546,1
131,59,420,1
132,59,897,1
133,59,415,1
134,59,1036,1
135,59,673,1
136,59,781,1
137,59,602,1
138,59,88,1
139,59,1080,1
140,59,504,1
141,59,1115,1
142,59,849,1
143,59,497,1
144,59,83,1
145,59,955,1
146,59,824,1
147,59,1038,1
148,59,653,1
149,59,872,1
150,59,144,1
151,59,694,1
152,59,975,1
153,59,650,1
154,59,1024,1
155,59,284,1
156,59,847,1
157,59,384,1
158,59,889,1
159,59,1113,1
