,TF,Target,Label
0,2,84,1
1,2,218,1
2,15,343,1
3,15,253,1
4,15,347,1
5,15,442,1
6,15,675,1
7,15,471,1
8,15,153,1
9,15,620,1
10,15,263,1
11,15,48,1
12,15,155,1
13,15,186,1
14,15,698,1
15,15,512,1
16,15,389,1
17,15,232,1
18,15,524,1
19,15,482,1
20,15,372,1
21,15,157,1
22,15,490,1
23,15,110,1
24,21,586,1
25,21,404,1
26,21,385,1
27,21,255,1
28,21,351,1
29,21,592,1
30,21,97,1
31,21,39,1
32,21,210,1
33,21,203,1
34,21,502,1
35,21,209,1
36,21,477,1
37,21,92,1
38,21,672,1
39,21,257,1
40,21,599,1
41,21,271,1
42,21,614,1
43,21,127,1
44,21,125,1
45,21,201,1
46,21,18,1
47,21,597,1
48,21,283,1
49,21,79,1
50,21,686,1
51,21,244,1
52,21,137,1
53,21,408,1
54,29,352,1
55,29,545,1
56,33,48,1
57,33,427,1
58,33,311,1
59,33,189,1
60,33,459,1
61,33,330,1
62,33,248,1
63,33,92,1
64,37,325,1
65,37,33,1
66,39,395,1
67,39,210,1
68,39,479,1
69,39,686,1
70,39,70,1
71,48,640,1
72,48,34,1
73,48,293,1
74,48,199,1
75,48,352,1
76,48,15,1
77,48,139,1
78,48,21,1
79,48,100,1
80,48,203,1
81,48,224,1
82,48,524,1
83,48,230,1
84,57,210,1
85,57,127,1
86,57,448,1
87,57,668,1
88,59,555,1
89,59,652,1
90,59,240,1
91,59,385,1
92,59,43,1
93,59,239,1
94,59,106,1
95,59,91,1
96,59,6,1
97,59,326,1
98,59,415,1
99,59,700,1
100,59,100,1
101,59,482,1
102,59,22,1
103,59,286,1
104,59,103,1
105,59,150,1
106,59,682,1
107,59,242,1
108,59,612,1
109,59,202,1
110,59,592,1
111,59,561,1
112,59,657,1
113,59,430,1
114,59,590,1
115,60,556,1
116,62,511,1
117,62,533,1
118,67,556,1
119,70,11,1
120,72,210,1
121,72,395,1
122,72,8,1
123,79,39,1
124,79,511,1
125,79,453,1
126,79,242,1
127,79,463,1
128,79,100,1
129,79,586,1
130,79,203,1
131,79,575,1
132,79,652,1
133,82,482,1
134,82,155,1
135,82,186,1
136,82,490,1
137,82,15,1
138,82,293,1
139,82,253,1
140,82,220,1
141,82,213,1
142,82,699,1
143,82,548,1
144,82,110,1
145,82,48,1
146,82,565,1
147,82,675,1
148,82,590,1
149,82,640,1
150,82,471,1
151,82,232,1
152,82,258,1
153,82,667,1
154,82,389,1
155,92,127,1
156,92,39,1
157,92,56,1
158,92,335,1
159,92,463,1
160,92,137,1
161,92,685,1
162,92,454,1
163,92,408,1
164,92,255,1
165,92,592,1
166,92,364,1
167,92,257,1
168,92,363,1
169,92,420,1
170,92,203,1
171,92,21,1
172,92,93,1
173,92,599,1
174,100,416,1
175,100,652,1
176,100,18,1
177,100,29,1
178,100,275,1
179,100,401,1
180,100,561,1
181,100,503,1
182,100,414,1
183,100,522,1
184,100,629,1
185,100,54,1
186,100,360,1
187,100,304,1
188,100,592,1
189,100,492,1
190,100,203,1
191,100,616,1
192,100,311,1
193,100,224,1
194,100,2,1
195,100,33,1
196,100,22,1
197,100,262,1
198,100,128,1
199,100,598,1
200,100,691,1
201,100,58,1
202,100,99,1
203,106,48,1
204,106,502,1
205,109,564,1
206,109,118,1
207,118,490,1
208,118,618,1
209,118,133,1
210,118,109,1
211,118,10,1
212,119,605,1
213,119,528,1
214,119,588,1
215,119,299,1
216,125,664,1
217,139,326,1
218,139,158,1
219,139,359,1
220,139,352,1
221,139,226,1
222,149,224,1
223,149,416,1
224,149,458,1
225,149,502,1
226,173,125,1
227,173,39,1
228,173,696,1
229,173,410,1
230,173,539,1
231,173,214,1
232,173,581,1
233,173,209,1
234,173,207,1
235,173,48,1
236,173,141,1
237,173,49,1
238,173,30,1
239,173,345,1
240,173,478,1
241,173,494,1
242,173,458,1
243,173,476,1
244,173,416,1
245,173,686,1
246,173,162,1
247,173,330,1
248,173,443,1
249,173,91,1
250,177,632,1
251,177,342,1
252,177,390,1
253,177,32,1
254,190,185,1
255,190,548,1
256,199,640,1
257,199,404,1
258,199,395,1
259,199,352,1
260,201,189,1
261,201,609,1
262,201,397,1
263,201,491,1
264,201,57,1
265,201,92,1
266,201,457,1
267,201,334,1
268,201,545,1
269,201,13,1
270,201,361,1
271,201,84,1
272,201,203,1
273,201,459,1
274,201,622,1
275,201,50,1
276,201,137,1
277,201,556,1
278,201,352,1
279,201,686,1
280,201,359,1
281,201,176,1
282,201,559,1
283,201,563,1
284,201,435,1
285,201,590,1
286,201,132,1
287,203,370,1
288,203,255,1
289,209,173,1
290,209,393,1
291,209,59,1
292,224,692,1
293,224,589,1
294,224,62,1
295,224,100,1
296,224,34,1
297,224,668,1
298,224,602,1
299,224,48,1
300,230,490,1
301,230,293,1
302,230,232,1
303,230,609,1
304,230,699,1
305,230,263,1
306,230,675,1
307,230,220,1
308,230,698,1
309,230,590,1
310,230,372,1
311,230,524,1
312,230,155,1
313,230,186,1
314,230,15,1
315,230,326,1
316,230,185,1
317,230,620,1
318,230,82,1
319,230,667,1
320,244,359,1
321,244,602,1
322,245,609,1
323,245,153,1
324,245,647,1
325,245,213,1
326,245,95,1
327,245,548,1
328,245,353,1
329,245,117,1
330,259,100,1
331,259,33,1
332,259,93,1
333,271,10,1
334,271,463,1
335,273,501,1
336,273,395,1
337,275,149,1
338,275,602,1
339,282,149,1
340,282,640,1
341,282,21,1
342,282,92,1
343,284,456,1
344,284,285,1
345,287,325,1
346,293,548,1
347,293,609,1
348,293,157,1
349,293,687,1
350,293,590,1
351,293,343,1
352,293,698,1
353,293,186,1
354,293,213,1
355,293,15,1
356,293,675,1
357,293,155,1
358,293,442,1
359,293,326,1
360,293,263,1
361,293,699,1
362,293,253,1
363,293,232,1
364,293,512,1
365,293,185,1
366,293,482,1
367,293,565,1
368,299,605,1
369,300,426,1
370,300,364,1
371,305,34,1
372,311,224,1
373,325,352,1
374,325,139,1
375,325,137,1
376,325,589,1
377,330,325,1
378,352,463,1
379,352,313,1
380,352,664,1
381,352,373,1
382,352,210,1
383,352,65,1
384,352,197,1
385,352,296,1
386,352,354,1
387,352,534,1
388,352,201,1
389,352,224,1
390,352,24,1
391,352,356,1
392,352,185,1
393,352,562,1
394,352,253,1
395,352,189,1
396,352,419,1
397,352,92,1
398,352,211,1
399,352,484,1
400,352,118,1
401,352,151,1
402,352,698,1
403,352,206,1
404,352,496,1
405,352,353,1
406,352,502,1
407,352,610,1
408,352,135,1
409,352,271,1
410,352,2,1
411,352,335,1
412,352,700,1
413,352,29,1
414,352,159,1
415,352,248,1
416,352,682,1
417,352,586,1
418,352,199,1
419,352,308,1
420,352,537,1
421,352,41,1
422,353,341,1
423,353,95,1
424,353,512,1
425,353,471,1
426,353,647,1
427,353,372,1
428,353,483,1
429,353,153,1
430,353,185,1
431,353,555,1
432,353,640,1
433,353,609,1
434,359,673,1
435,359,352,1
436,359,20,1
437,359,139,1
438,364,506,1
439,364,684,1
440,364,300,1
441,364,481,1
442,369,624,1
443,375,32,1
444,375,133,1
445,375,659,1
446,375,201,1
447,395,91,1
448,395,48,1
449,395,149,1
450,395,82,1
451,404,364,1
452,404,203,1
453,404,439,1
454,404,259,1
455,406,532,1
456,406,379,1
457,406,114,1
458,406,586,1
459,406,313,1
460,406,280,1
461,406,112,1
462,406,184,1
463,406,116,1
464,406,206,1
465,406,16,1
466,406,562,1
467,406,383,1
468,406,664,1
469,406,543,1
470,406,336,1
471,406,496,1
472,406,484,1
473,406,277,1
474,406,390,1
475,406,498,1
476,406,290,1
477,406,31,1
478,406,602,1
479,406,175,1
480,406,32,1
481,406,355,1
482,406,681,1
483,406,700,1
484,406,351,1
485,406,151,1
486,406,177,1
487,406,685,1
488,406,538,1
489,406,160,1
490,406,95,1
491,406,6,1
492,406,356,1
493,406,455,1
494,406,626,1
495,406,695,1
496,406,211,1
497,406,572,1
498,406,197,1
499,406,26,1
500,406,630,1
501,406,542,1
502,406,621,1
503,406,120,1
504,406,344,1
505,406,65,1
506,406,413,1
507,409,209,1
508,409,642,1
509,409,523,1
510,409,292,1
511,409,39,1
512,409,534,1
513,409,352,1
514,409,106,1
515,409,526,1
516,409,443,1
517,409,481,1
518,425,224,1
519,425,435,1
520,425,145,1
521,425,611,1
522,425,567,1
523,426,364,1
524,426,300,1
525,430,547,1
526,430,593,1
527,434,584,1
528,435,128,1
529,435,656,1
530,435,273,1
531,435,685,1
532,435,516,1
533,435,642,1
534,435,611,1
535,435,617,1
536,435,287,1
537,435,201,1
538,439,137,1
539,439,100,1
540,439,395,1
541,439,149,1
542,439,111,1
543,439,255,1
544,439,157,1
545,439,458,1
546,439,678,1
547,439,179,1
548,439,79,1
549,439,271,1
550,453,100,1
551,456,494,1
552,456,92,1
553,456,317,1
554,456,567,1
555,456,80,1
556,456,554,1
557,458,556,1
558,458,514,1
559,458,660,1
560,458,33,1
561,458,520,1
562,458,415,1
563,458,240,1
564,458,409,1
565,458,13,1
566,458,196,1
567,458,454,1
568,458,414,1
569,458,12,1
570,458,589,1
571,458,214,1
572,458,426,1
573,458,352,1
574,477,330,1
575,477,115,1
576,477,427,1
577,477,602,1
578,477,59,1
579,477,668,1
580,477,311,1
581,477,48,1
582,481,364,1
583,481,300,1
584,481,426,1
585,482,230,1
586,482,548,1
587,482,609,1
588,482,285,1
589,482,565,1
590,482,698,1
591,482,326,1
592,482,372,1
593,482,82,1
594,482,31,1
595,482,667,1
596,482,258,1
597,482,253,1
598,482,347,1
599,482,232,1
600,482,640,1
601,482,293,1
602,482,471,1
603,482,155,1
604,482,186,1
605,482,220,1
606,482,687,1
607,494,456,1
608,494,125,1
609,494,567,1
610,494,523,1
611,497,395,1
612,498,569,1
613,501,500,1
614,502,79,1
615,502,603,1
616,502,395,1
617,508,543,1
618,511,62,1
619,511,224,1
620,511,502,1
621,516,21,1
622,516,57,1
623,516,352,1
624,516,91,1
625,516,29,1
626,516,560,1
627,516,689,1
628,516,201,1
629,516,180,1
630,516,125,1
631,518,203,1
632,518,611,1
633,518,642,1
634,518,435,1
635,523,39,1
636,523,616,1
637,523,395,1
638,523,684,1
639,523,184,1
640,523,42,1
641,523,478,1
642,523,259,1
643,523,199,1
644,523,161,1
645,524,82,1
646,524,650,1
647,524,482,1
