,TF,Target,Label
0,3,404,1
1,3,274,1
2,6,631,1
3,27,590,1
4,27,536,1
5,27,232,1
6,27,109,1
7,28,299,1
8,28,165,1
9,28,206,1
10,28,497,1
11,29,587,1
12,29,508,1
13,29,301,1
14,29,261,1
15,29,475,1
16,29,363,1
17,34,292,1
18,42,350,1
19,42,323,1
20,42,361,1
21,42,399,1
22,42,102,1
23,42,204,1
24,42,345,1
25,42,620,1
26,50,475,1
27,64,293,1
28,64,277,1
29,64,57,1
30,64,79,1
31,64,232,1
32,67,29,1
33,67,429,1
34,67,486,1
35,67,81,1
36,67,78,1
37,68,414,1
38,73,270,1
39,78,187,1
40,78,192,1
41,78,360,1
42,78,39,1
43,78,606,1
44,78,134,1
45,78,107,1
46,78,161,1
47,78,84,1
48,78,177,1
49,78,559,1
50,78,327,1
51,78,427,1
52,79,208,1
53,79,631,1
54,79,293,1
55,81,292,1
56,81,67,1
57,82,263,1
58,82,199,1
59,82,323,1
60,82,161,1
61,82,536,1
62,82,53,1
63,82,350,1
64,82,500,1
65,99,606,1
66,134,210,1
67,134,404,1
68,137,67,1
69,137,13,1
70,137,589,1
71,137,545,1
72,137,131,1
73,137,533,1
74,137,496,1
75,137,210,1
76,137,168,1
77,137,222,1
78,137,554,1
79,137,279,1
80,137,83,1
81,137,301,1
82,137,217,1
83,137,298,1
84,137,472,1
85,137,154,1
86,137,570,1
87,137,98,1
88,137,497,1
89,137,464,1
90,137,256,1
91,137,442,1
92,137,232,1
93,137,577,1
94,137,116,1
95,137,122,1
96,137,336,1
97,137,488,1
98,137,24,1
99,137,227,1
100,137,392,1
101,137,369,1
102,137,186,1
103,137,430,1
104,137,287,1
105,137,134,1
106,137,164,1
107,137,297,1
108,137,104,1
109,137,310,1
110,137,338,1
111,137,345,1
112,161,82,1
113,161,534,1
114,165,28,1
115,177,437,1
116,177,486,1
117,189,407,1
118,189,53,1
119,198,199,1
120,198,363,1
121,199,363,1
122,199,553,1
123,199,82,1
124,199,198,1
125,204,411,1
126,204,246,1
127,204,323,1
128,204,279,1
129,204,266,1
130,204,53,1
131,204,82,1
132,204,299,1
133,204,297,1
134,204,500,1
135,204,554,1
136,204,74,1
137,204,497,1
138,204,21,1
139,204,561,1
140,204,240,1
141,209,216,1
142,209,74,1
143,209,453,1
144,224,590,1
145,226,351,1
146,226,33,1
147,226,375,1
148,226,575,1
149,251,27,1
150,251,109,1
151,251,420,1
152,251,232,1
153,263,283,1
154,263,543,1
155,263,631,1
156,263,104,1
157,263,546,1
158,263,47,1
159,263,367,1
160,263,140,1
161,263,219,1
162,263,331,1
163,263,575,1
164,263,441,1
165,263,20,1
166,263,410,1
167,263,622,1
168,263,564,1
169,263,503,1
170,263,175,1
171,263,2,1
172,263,232,1
173,270,73,1
174,276,363,1
175,276,590,1
176,276,232,1
177,276,486,1
178,276,613,1
179,276,262,1
180,276,152,1
181,276,216,1
182,276,278,1
183,283,445,1
184,283,508,1
185,283,232,1
186,283,538,1
187,283,246,1
188,283,263,1
189,283,84,1
190,283,78,1
191,283,315,1
192,283,494,1
193,283,141,1
194,283,28,1
195,283,212,1
196,292,34,1
197,292,81,1
198,293,251,1
199,293,268,1
200,293,183,1
201,293,232,1
202,293,109,1
203,293,504,1
204,293,200,1
205,299,182,1
