,TF,Target,Label
0,31,340,1
1,31,489,1
2,31,452,1
3,31,266,1
4,31,520,1
5,31,566,1
6,51,408,1
7,58,402,1
8,58,440,1
9,58,16,1
10,58,353,1
11,58,202,1
12,58,416,1
13,58,200,1
14,58,204,1
15,58,168,1
16,58,10,1
17,58,220,1
18,58,542,1
19,58,382,1
20,74,641,1
21,74,105,1
22,74,144,1
23,74,17,1
24,74,174,1
25,74,617,1
26,74,36,1
27,91,472,1
28,105,74,1
29,116,22,1
30,116,299,1
31,116,246,1
32,116,51,1
33,116,3,1
34,116,204,1
35,116,690,1
36,116,327,1
37,116,534,1
38,116,369,1
39,123,414,1
40,123,226,1
41,171,382,1
42,194,604,1
43,194,477,1
44,194,63,1
45,194,690,1
46,194,577,1
47,194,570,1
48,222,400,1
49,236,171,1
50,236,328,1
51,238,171,1
52,238,74,1
53,243,653,1
54,243,482,1
55,244,266,1
56,244,485,1
57,244,452,1
58,244,516,1
59,244,566,1
60,244,489,1
61,245,573,1
62,245,645,1
63,245,374,1
64,245,168,1
65,245,222,1
66,345,171,1
67,382,325,1
68,382,400,1
69,382,616,1
70,382,287,1
71,382,81,1
72,409,602,1
73,409,543,1
74,409,555,1
75,409,606,1
76,409,428,1
77,409,58,1
78,409,222,1
79,409,41,1
80,409,436,1
81,409,114,1
82,409,422,1
83,409,57,1
84,409,223,1
85,409,647,1
86,431,583,1
87,442,73,1
88,442,639,1
89,442,540,1
90,516,520,1
91,516,566,1
92,516,485,1
93,516,489,1
94,516,31,1
95,517,654,1
96,518,280,1
97,518,286,1
98,524,654,1
99,524,245,1
100,540,236,1
101,540,296,1
102,540,272,1
103,540,91,1
104,540,507,1
105,583,171,1
106,594,604,1
107,594,396,1
108,604,65,1
109,604,328,1
110,604,38,1
111,604,13,1
112,604,401,1
113,604,102,1
114,604,365,1
115,604,400,1
116,604,541,1
117,604,199,1
118,604,416,1
119,604,70,1
120,604,573,1
121,604,238,1
122,604,131,1
123,604,527,1
124,604,436,1
125,604,538,1
126,604,17,1
127,604,296,1
128,604,353,1
129,604,204,1
130,604,183,1
131,604,653,1
132,606,400,1
133,639,542,1
134,639,49,1
135,653,243,1
136,653,604,1
137,654,138,1
138,654,573,1
139,654,459,1
140,654,645,1
141,654,374,1
142,654,594,1
143,654,296,1
144,654,168,1
145,671,643,1
146,671,30,1
147,671,72,1
148,671,268,1
149,671,623,1
150,671,566,1
151,671,486,1
152,671,373,1
153,671,353,1
154,671,596,1
155,671,462,1
156,671,328,1
157,671,185,1
158,671,183,1
159,671,13,1
160,671,485,1
161,671,532,1
162,671,611,1
163,671,325,1
164,671,544,1
165,671,504,1
166,671,541,1
167,671,685,1
168,671,38,1
169,671,511,1
170,31,337,0
171,31,605,0
172,31,265,0
173,31,616,0
174,31,404,0
175,31,568,0
176,51,635,0
177,58,361,0
178,58,677,0
179,58,243,0
180,58,93,0
181,58,172,0
182,58,97,0
183,58,352,0
184,58,496,0
185,58,21,0
186,58,670,0
187,58,591,0
188,58,132,0
189,58,324,0
190,74,488,0
191,74,115,0
192,74,217,0
193,74,607,0
194,74,80,0
195,74,657,0
196,74,656,0
197,91,592,0
198,105,301,0
199,116,674,0
200,116,622,0
201,116,294,0
202,116,107,0
203,116,280,0
204,116,588,0
205,116,638,0
206,116,365,0
207,116,136,0
208,116,138,0
209,123,156,0
210,123,662,0
211,171,603,0
212,194,196,0
213,194,419,0
214,194,209,0
215,194,551,0
216,194,151,0
217,194,608,0
218,222,535,0
219,236,437,0
220,236,111,0
221,238,524,0
222,238,123,0
223,243,575,0
224,243,465,0
225,244,362,0
226,244,311,0
227,244,3,0
228,244,382,0
229,244,616,0
230,244,634,0
231,245,324,0
232,245,675,0
233,245,2,0
234,245,396,0
235,245,420,0
236,345,284,0
237,382,117,0
238,382,70,0
239,382,54,0
240,382,411,0
241,382,671,0
242,409,463,0
243,409,359,0
244,409,412,0
245,409,100,0
246,409,410,0
247,409,587,0
248,409,199,0
249,409,615,0
250,409,605,0
251,409,389,0
252,409,60,0
253,409,440,0
254,409,453,0
255,409,503,0
256,431,184,0
257,442,358,0
258,442,27,0
259,442,55,0
260,516,665,0
261,516,536,0
262,516,320,0
263,516,69,0
264,516,401,0
265,517,50,0
266,518,155,0
267,518,403,0
268,524,43,0
269,524,497,0
270,540,659,0
271,540,46,0
272,540,462,0
273,540,408,0
274,540,349,0
275,583,365,0
276,594,49,0
277,594,261,0
278,604,434,0
279,604,300,0
280,604,345,0
281,604,303,0
282,604,449,0
283,604,120,0
284,604,651,0
285,604,138,0
286,604,188,0
287,604,418,0
288,604,309,0
289,604,421,0
290,604,78,0
291,604,584,0
292,604,256,0
293,604,683,0
294,604,600,0
295,604,381,0
296,604,181,0
297,604,601,0
298,604,424,0
299,604,8,0
300,604,679,0
301,604,458,0
302,606,390,0
303,639,647,0
304,639,371,0
305,653,508,0
306,653,167,0
307,654,334,0
308,654,395,0
309,654,41,0
310,654,47,0
311,654,232,0
312,654,115,0
313,654,387,0
314,654,505,0
315,671,585,0
316,671,127,0
317,671,394,0
318,671,211,0
319,671,676,0
320,671,549,0
321,671,224,0
322,671,625,0
323,671,166,0
324,671,593,0
325,671,259,0
326,671,681,0
327,671,407,0
328,671,423,0
329,671,637,0
330,671,330,0
331,671,181,0
332,671,660,0
333,671,154,0
334,671,187,0
335,671,298,0
336,671,612,0
337,671,250,0
338,671,139,0
339,671,215,0
