,TF,Target,Label
0,0,89,1
1,0,885,1
2,0,760,1
3,7,465,1
4,13,316,1
5,13,390,1
6,13,298,1
7,13,369,1
8,13,453,1
9,13,671,1
10,13,842,1
11,13,641,1
12,24,31,1
13,24,193,1
14,24,618,1
15,24,857,1
16,25,584,1
17,25,126,1
18,25,140,1
19,25,799,1
20,25,460,1
21,25,257,1
22,25,220,1
23,29,342,1
24,29,116,1
25,30,856,1
26,30,538,1
27,30,250,1
28,30,298,1
29,30,602,1
30,30,839,1
31,30,207,1
32,30,658,1
33,30,787,1
34,30,803,1
35,30,671,1
36,30,793,1
37,30,759,1
38,30,355,1
39,30,811,1
40,30,254,1
41,30,761,1
42,30,53,1
43,30,885,1
44,30,725,1
45,31,618,1
46,31,717,1
47,31,198,1
48,31,341,1
49,31,805,1
50,31,70,1
51,31,355,1
52,31,149,1
53,31,755,1
54,31,492,1
55,31,562,1
56,31,857,1
57,32,752,1
58,32,847,1
59,34,80,1
60,35,682,1
61,35,645,1
62,35,275,1
63,35,586,1
64,35,695,1
65,35,613,1
66,35,546,1
67,35,674,1
68,35,54,1
69,35,518,1
70,35,305,1
71,35,660,1
72,35,248,1
73,35,87,1
74,35,678,1
75,35,492,1
76,35,871,1
77,35,562,1
78,35,2,1
79,35,655,1
80,40,75,1
81,40,145,1
82,40,30,1
83,40,658,1
84,40,254,1
85,45,239,1
86,45,450,1
87,45,372,1
88,45,283,1
89,45,571,1
90,45,667,1
91,46,849,1
92,46,909,1
93,50,275,1
94,50,10,1
95,50,472,1
96,50,498,1
97,52,152,1
98,52,898,1
99,52,322,1
100,52,199,1
101,52,750,1
102,52,336,1
103,52,311,1
104,52,286,1
105,52,252,1
106,52,239,1
107,52,838,1
108,52,351,1
109,52,204,1
110,52,321,1
111,52,302,1
112,54,753,1
113,54,2,1
114,54,421,1
115,54,613,1
116,54,35,1
117,54,498,1
118,54,607,1
119,54,645,1
120,54,10,1
121,54,571,1
122,54,87,1
123,54,546,1
124,54,248,1
125,54,674,1
126,54,384,1
127,54,655,1
128,54,273,1
129,55,195,1
130,55,411,1
131,62,427,1
132,62,152,1
133,62,241,1
134,62,239,1
135,63,687,1
136,63,411,1
137,63,468,1
138,63,780,1
139,74,578,1
140,74,459,1
141,74,116,1
142,74,208,1
143,74,239,1
144,74,201,1
145,74,241,1
146,74,155,1
147,74,204,1
148,74,427,1
149,75,368,1
150,75,355,1
151,75,259,1
152,75,40,1
153,80,391,1
154,80,30,1
155,80,642,1
156,80,629,1
157,80,282,1
158,81,891,1
159,82,316,1
160,82,281,1
161,82,303,1
162,82,855,1
163,82,390,1
164,82,768,1
165,82,853,1
166,82,397,1
167,82,671,1
168,82,43,1
169,83,468,1
170,83,63,1
171,85,622,1
172,85,558,1
173,89,187,1
174,93,281,1
175,93,613,1
176,98,898,1
177,98,752,1
178,103,541,1
179,103,809,1
180,103,204,1
181,103,642,1
182,103,383,1
183,103,201,1
184,103,838,1
185,103,282,1
186,105,725,1
187,116,578,1
188,116,170,1
189,116,103,1
190,116,74,1
191,116,204,1
192,116,190,1
193,116,809,1
194,116,541,1
195,119,693,1
196,119,30,1
197,119,803,1
198,119,765,1
199,120,158,1
200,124,699,1
201,124,909,1
202,124,658,1
203,124,200,1
204,124,298,1
205,126,760,1
206,128,163,1
207,128,732,1
208,128,670,1
209,128,885,1
210,133,262,1
211,133,278,1
212,139,158,1
213,140,464,1
214,140,622,1
215,140,885,1
216,140,762,1
217,140,163,1
218,140,453,1
219,140,792,1
220,145,737,1
221,145,451,1
222,146,898,1
223,151,417,1
224,151,572,1
225,152,570,1
226,152,372,1
227,152,286,1
228,152,787,1
229,152,162,1
230,152,211,1
231,152,471,1
232,152,321,1
233,152,468,1
234,152,531,1
235,152,335,1
236,152,809,1
237,152,892,1
238,152,270,1
239,152,169,1
240,152,386,1
241,152,74,1
242,152,736,1
243,152,729,1
244,152,311,1
245,152,646,1
246,152,788,1
247,152,568,1
248,152,45,1
249,152,342,1
250,152,803,1
251,152,687,1
252,152,239,1
253,152,496,1
254,152,252,1
255,152,241,1
256,152,624,1
257,152,62,1
258,152,886,1
259,152,283,1
260,158,564,1
261,158,129,1
262,158,377,1
263,158,280,1
264,158,109,1
265,158,244,1
266,158,722,1
267,162,667,1
268,162,195,1
269,162,427,1
270,162,670,1
271,162,239,1
272,162,252,1
273,162,568,1
274,163,464,1
275,163,856,1
276,163,732,1
277,163,584,1
278,163,128,1
279,163,892,1
280,163,659,1
281,164,242,1
282,164,674,1
283,164,535,1
284,164,244,1
285,164,858,1
286,164,584,1
287,169,62,1
288,169,459,1
289,169,667,1
290,169,152,1
291,170,268,1
292,170,29,1
293,170,584,1
294,170,116,1
295,173,704,1
296,173,892,1
297,175,512,1
298,175,355,1
299,178,584,1
300,178,558,1
301,179,439,1
302,179,252,1
303,187,89,1
304,187,309,1
305,187,341,1
306,187,460,1
307,187,701,1
308,187,805,1
309,187,845,1
310,187,854,1
311,190,499,1
312,190,870,1
313,190,613,1
314,190,557,1
315,190,765,1
316,190,116,1
317,190,16,1
318,190,708,1
319,191,885,1
320,195,162,1
321,195,540,1
322,195,286,1
323,195,750,1
324,195,906,1
325,195,667,1
326,195,336,1
327,195,544,1
328,198,792,1
329,198,10,1
330,198,0,1
331,198,885,1
332,198,220,1
333,198,755,1
334,198,595,1
335,198,550,1
336,198,465,1
337,198,65,1
338,198,54,1
339,198,259,1
340,198,355,1
341,198,508,1
342,198,31,1
343,198,909,1
344,198,858,1
345,198,343,1
346,198,853,1
347,198,850,1
348,198,164,1
349,198,808,1
350,199,677,1
351,199,571,1
352,199,361,1
353,199,464,1
354,199,10,1
355,199,875,1
356,199,52,1
357,199,763,1
358,199,485,1
359,199,512,1
360,200,800,1
361,200,203,1
362,200,286,1
363,200,681,1
364,201,252,1
365,201,578,1
366,201,383,1
367,201,646,1
368,201,239,1
369,201,286,1
370,201,789,1
371,201,844,1
372,201,521,1
373,201,321,1
374,201,642,1
375,201,322,1
376,201,750,1
377,201,98,1
378,201,336,1
379,201,809,1
380,201,361,1
381,201,624,1
382,201,302,1
383,203,800,1
384,204,116,1
385,204,383,1
386,204,541,1
387,204,786,1
388,204,557,1
389,204,524,1
390,204,578,1
391,204,302,1
392,204,201,1
393,204,190,1
394,205,402,1
395,205,181,1
396,205,16,1
397,205,571,1
398,205,461,1
399,205,259,1
400,205,465,1
401,205,521,1
402,205,327,1
403,205,355,1
404,205,768,1
405,205,909,1
406,205,715,1
407,205,15,1
408,205,464,1
409,206,270,1
410,206,886,1
411,207,30,1
412,207,715,1
413,207,303,1
414,207,671,1
415,211,63,1
416,211,471,1
417,211,667,1
418,211,571,1
419,211,152,1
420,211,336,1
421,211,195,1
422,211,367,1
423,211,351,1
424,211,239,1
425,211,411,1
426,211,572,1
427,212,491,1
428,212,689,1
429,212,485,1
430,212,199,1
431,212,273,1
432,212,384,1
433,212,492,1
434,212,889,1
435,216,577,1
436,216,885,1
437,219,239,1
438,219,667,1
439,219,427,1
440,219,584,1
441,223,747,1
442,223,340,1
443,223,298,1
444,223,233,1
445,229,337,1
446,229,820,1
447,229,622,1
448,233,30,1
449,233,699,1
450,233,298,1
451,233,747,1
452,233,860,1
453,233,335,1
454,233,595,1
455,238,772,1
456,239,311,1
457,239,736,1
458,239,752,1
459,239,540,1
460,239,427,1
461,239,568,1
462,239,709,1
463,239,886,1
464,239,169,1
465,239,892,1
466,239,787,1
467,239,286,1
468,239,45,1
469,239,219,1
470,239,421,1
471,239,62,1
472,239,729,1
473,239,335,1
474,239,496,1
475,239,750,1
476,239,307,1
477,239,195,1
478,239,459,1
479,239,283,1
480,239,468,1
481,239,411,1
482,239,642,1
483,239,252,1
484,239,302,1
485,239,471,1
486,239,898,1
487,239,211,1
488,239,336,1
489,239,677,1
490,239,906,1
491,242,757,1
492,242,591,1
493,242,858,1
494,242,539,1
495,242,535,1
496,242,151,1
497,242,164,1
498,243,383,1
499,244,858,1
500,244,462,1
501,244,760,1
502,244,158,1
503,244,129,1
504,244,654,1
505,244,564,1
506,244,109,1
507,244,458,1
508,244,351,1
509,248,335,1
510,248,498,1
511,248,637,1
512,248,885,1
513,248,461,1
514,248,521,1
515,248,660,1
516,248,35,1
517,248,870,1
518,248,607,1
519,248,398,1
520,248,489,1
521,248,765,1
522,248,772,1
523,250,335,1
524,250,30,1
525,250,670,1
526,250,803,1
527,252,361,1
528,252,624,1
529,252,52,1
530,252,302,1
531,252,307,1
532,252,179,1
533,252,844,1
534,252,321,1
535,252,752,1
536,252,201,1
537,252,162,1
538,252,322,1
539,252,152,1
540,252,809,1
541,252,750,1
542,252,286,1
543,254,69,1
544,254,335,1
545,254,40,1
546,259,355,1
547,259,457,1
548,259,759,1
549,259,435,1
550,259,658,1
551,259,402,1
552,259,75,1
553,259,464,1
554,259,725,1
555,259,512,1
556,259,664,1
557,259,509,1
558,259,831,1
559,262,248,1
560,262,396,1
561,262,216,1
562,262,133,1
563,264,74,1
564,268,584,1
565,268,768,1
566,268,88,1
567,268,82,1
568,268,755,1
569,268,182,1
570,268,880,1
571,268,832,1
572,268,603,1
573,268,671,1
574,268,272,1
575,268,419,1
576,270,595,1
577,270,336,1
578,270,239,1
579,270,241,1
580,270,152,1
581,270,427,1
582,270,750,1
583,270,459,1
584,270,886,1
585,270,803,1
586,278,849,1
587,278,883,1
588,278,133,1
589,278,637,1
590,278,848,1
591,278,885,1
592,278,457,1
593,278,869,1
594,278,15,1
595,281,673,1
596,281,564,1
597,281,853,1
598,281,82,1
599,282,116,1
600,282,252,1
601,282,622,1
602,282,74,1
603,282,423,1
604,282,885,1
605,282,52,1
606,282,383,1
607,282,103,1
608,282,286,1
609,282,624,1
610,282,642,1
611,282,650,1
612,282,898,1
613,282,321,1
614,282,307,1
615,282,541,1
616,282,239,1
617,282,809,1
618,286,788,1
619,286,468,1
620,286,677,1
621,286,336,1
622,286,252,1
623,286,650,1
624,286,239,1
625,286,624,1
626,286,892,1
627,286,270,1
628,286,200,1
629,286,351,1
630,286,282,1
631,286,335,1
632,286,605,1
633,286,427,1
634,286,52,1
635,286,572,1
636,286,302,1
637,286,736,1
638,286,471,1
639,286,886,1
640,286,787,1
641,286,540,1
642,286,709,1
643,286,809,1
644,286,838,1
645,286,729,1
646,286,459,1
647,286,360,1
648,286,646,1
649,288,842,1
650,288,281,1
651,288,909,1
652,288,564,1
653,290,319,1
654,290,869,1
655,290,217,1
656,290,725,1
657,295,283,1
658,295,897,1
659,295,45,1
660,295,78,1
661,295,155,1
662,295,740,1
663,295,152,1
664,295,372,1
665,295,336,1
666,295,483,1
667,295,568,1
668,295,447,1
669,295,189,1
670,298,124,1
671,298,641,1
672,298,356,1
673,298,658,1
674,298,319,1
675,298,242,1
676,298,587,1
677,298,699,1
678,298,860,1
679,298,233,1
680,298,787,1
681,298,13,1
682,302,667,1
683,302,838,1
684,302,239,1
685,302,131,1
686,302,752,1
687,302,898,1
688,302,52,1
689,302,116,1
690,302,311,1
691,302,624,1
692,302,351,1
693,302,307,1
694,302,642,1
695,302,152,1
696,302,541,1
697,302,321,1
698,304,335,1
699,304,780,1
700,304,340,1
701,304,233,1
702,307,52,1
703,307,311,1
704,307,646,1
705,307,650,1
706,307,336,1
707,307,286,1
708,307,642,1
709,307,750,1
710,307,302,1
711,307,844,1
712,307,577,1
713,307,239,1
714,307,351,1
715,307,152,1
716,311,322,1
717,311,201,1
718,311,838,1
719,311,608,1
720,311,844,1
721,311,52,1
722,311,752,1
723,311,282,1
724,311,239,1
725,311,307,1
726,311,650,1
727,311,351,1
728,311,898,1
729,311,646,1
730,311,750,1
731,318,708,1
732,318,498,1
733,319,356,1
734,319,808,1
735,319,25,1
736,319,701,1
737,319,595,1
738,319,703,1
739,321,152,1
740,321,642,1
741,321,838,1
742,321,898,1
743,321,336,1
744,321,201,1
745,321,282,1
746,321,750,1
747,321,541,1
748,321,667,1
749,321,311,1
750,321,351,1
751,321,103,1
752,327,615,1
753,327,205,1
754,328,198,1
755,328,772,1
756,328,275,1
757,328,670,1
758,328,461,1
759,328,491,1
760,328,562,1
761,328,273,1
762,335,304,1
763,335,671,1
764,335,351,1
765,335,355,1
766,335,602,1
767,335,411,1
768,335,710,1
769,335,577,1
770,335,899,1
771,335,30,1
772,335,254,1
773,335,538,1
774,335,759,1
775,335,725,1
776,335,750,1
777,335,667,1
778,335,856,1
779,335,681,1
780,335,250,1
781,335,336,1
782,336,898,1
783,336,239,1
784,336,892,1
785,336,195,1
786,336,52,1
787,336,809,1
788,336,270,1
789,336,302,1
790,336,342,1
791,336,307,1
792,336,321,1
793,336,709,1
794,336,211,1
795,336,729,1
796,336,752,1
797,336,788,1
798,336,624,1
799,336,450,1
800,336,468,1
801,336,642,1
802,336,252,1
803,336,736,1
804,336,282,1
805,336,540,1
806,336,570,1
807,336,496,1
808,336,605,1
809,336,295,1
810,336,286,1
811,340,223,1
812,340,658,1
813,341,755,1
814,341,805,1
815,341,309,1
816,342,116,1
817,342,170,1
818,342,750,1
819,342,152,1
820,342,286,1
821,351,572,1
822,351,201,1
823,351,360,1
824,351,736,1
825,351,838,1
826,351,270,1
827,351,421,1
828,351,282,1
829,351,570,1
830,351,646,1
831,351,667,1
832,351,677,1
833,351,321,1
834,351,152,1
835,351,531,1
836,351,787,1
837,351,750,1
838,351,286,1
839,351,584,1
840,351,687,1
841,351,52,1
842,351,195,1
843,351,892,1
844,351,886,1
845,351,618,1
846,351,307,1
847,351,729,1
848,351,411,1
849,351,372,1
850,351,788,1
851,351,252,1
852,351,496,1
853,355,75,1
854,355,671,1
855,355,637,1
856,355,259,1
857,355,853,1
858,355,449,1
859,355,857,1
860,355,530,1
861,355,885,1
862,355,759,1
863,355,513,1
864,355,803,1
865,355,31,1
866,355,30,1
867,355,82,1
868,355,701,1
869,355,205,1
870,355,658,1
871,355,725,1
872,355,254,1
873,355,787,1
874,355,850,1
875,355,65,1
876,355,664,1
877,355,453,1
878,355,290,1
879,355,815,1
880,355,831,1
881,356,734,1
882,356,319,1
883,356,298,1
884,360,199,1
885,360,195,1
886,360,450,1
887,360,351,1
888,360,239,1
889,360,152,1
890,360,553,1
891,360,667,1
892,360,885,1
893,360,531,1
894,360,750,1
895,361,201,1
896,361,179,1
897,361,199,1
898,361,577,1
899,361,479,1
900,363,548,1
901,366,94,1
902,367,411,1
903,367,780,1
904,370,592,1
905,372,351,1
906,372,78,1
907,372,691,1
908,372,897,1
909,372,750,1
