,TF,Target,Label
0,1,424,1
1,1,454,1
2,1,29,1
3,1,823,1
4,1,451,1
5,1,482,1
6,1,620,1
7,1,329,1
8,1,178,1
9,1,442,1
10,1,575,1
11,1,589,1
12,1,563,1
13,1,668,1
14,1,549,1
15,1,265,1
16,4,500,1
17,4,220,1
18,4,242,1
19,4,186,1
20,4,750,1
21,4,441,1
22,4,137,1
23,4,642,1
24,4,363,1
25,4,548,1
26,4,496,1
27,4,745,1
28,4,446,1
29,4,64,1
30,4,481,1
31,4,96,1
32,4,681,1
33,4,476,1
34,4,370,1
35,4,728,1
36,4,387,1
37,5,706,1
38,14,510,1
39,14,672,1
40,14,623,1
41,14,195,1
42,14,560,1
43,14,591,1
44,14,534,1
45,14,583,1
46,14,752,1
47,14,249,1
48,15,816,1
49,15,672,1
50,15,591,1
51,15,249,1
52,15,644,1
53,15,277,1
54,15,409,1
55,15,916,1
56,20,550,1
57,20,379,1
58,22,86,1
59,22,54,1
60,22,342,1
61,22,758,1
62,22,249,1
63,22,470,1
64,22,623,1
65,22,833,1
66,22,131,1
67,22,394,1
68,22,40,1
69,22,317,1
70,24,387,1
71,24,946,1
72,24,662,1
73,24,296,1
74,24,767,1
75,24,441,1
76,24,864,1
77,24,642,1
78,24,96,1
79,24,137,1
80,24,220,1
81,24,750,1
82,24,41,1
83,24,4,1
84,24,756,1
85,24,669,1
86,24,186,1
87,24,105,1
88,24,745,1
89,24,481,1
90,24,128,1
91,26,709,1
92,26,368,1
93,26,522,1
94,26,794,1
95,26,888,1
96,26,462,1
97,26,84,1
98,26,89,1
99,26,86,1
100,26,29,1
101,26,706,1
102,26,673,1
103,28,139,1
104,28,471,1
105,28,255,1
106,28,854,1
107,28,905,1
108,36,292,1
109,36,267,1
110,37,139,1
111,37,275,1
112,38,30,1
113,38,259,1
114,38,515,1
115,38,290,1
116,38,319,1
117,38,64,1
118,38,620,1
119,38,9,1
120,38,386,1
121,38,226,1
122,38,736,1
123,38,635,1
124,38,213,1
125,38,573,1
126,38,687,1
127,38,233,1
128,38,499,1
129,38,96,1
130,38,421,1
131,38,441,1
132,39,815,1
133,39,534,1
134,39,44,1
135,39,546,1
136,39,26,1
137,39,156,1
138,39,482,1
139,39,124,1
140,39,249,1
141,39,623,1
142,39,595,1
143,39,205,1
144,39,328,1
145,39,452,1
146,39,89,1
147,39,319,1
148,39,406,1
149,39,85,1
150,39,528,1
151,39,139,1
152,39,470,1
153,40,736,1
154,40,662,1
155,40,378,1
156,40,610,1
157,40,222,1
158,40,827,1
159,40,233,1
160,40,493,1
161,40,676,1
162,40,96,1
163,40,184,1
164,40,307,1
165,40,365,1
166,40,499,1
167,40,575,1
168,40,386,1
169,40,864,1
170,40,939,1
171,40,22,1
172,41,581,1
173,41,220,1
174,41,54,1
175,41,946,1
176,41,414,1
177,41,64,1
178,41,105,1
179,41,486,1
180,41,375,1
181,41,481,1
182,41,328,1
183,41,831,1
184,41,815,1
185,41,669,1
186,41,499,1
187,41,520,1
188,41,137,1
189,41,496,1
190,41,515,1
191,41,94,1
192,41,85,1
193,41,190,1
194,41,226,1
195,41,662,1
196,41,476,1
197,41,242,1
198,41,456,1
199,41,687,1
200,41,363,1
201,41,343,1
202,41,482,1
203,41,681,1
204,41,538,1
205,41,186,1
206,41,475,1
207,41,801,1
208,41,445,1
209,41,296,1
210,41,117,1
211,41,195,1
212,41,465,1
213,41,786,1
214,41,307,1
215,41,546,1
216,41,38,1
217,41,854,1
218,41,115,1
219,41,470,1
220,41,718,1
221,41,750,1
222,41,610,1
223,41,700,1
224,41,441,1
225,41,864,1
226,41,96,1
227,43,265,1
228,43,29,1
229,43,378,1
230,43,188,1
231,43,625,1
232,43,769,1
233,43,123,1
234,43,739,1
235,43,613,1
236,43,639,1
237,43,649,1
238,43,44,1
239,43,882,1
240,43,819,1
241,43,828,1
242,43,784,1
243,43,833,1
244,43,539,1
245,43,493,1
246,43,783,1
247,43,512,1
248,43,575,1
249,43,181,1
250,43,239,1
251,43,245,1
252,43,332,1
253,43,620,1
254,43,424,1
255,43,330,1
256,47,751,1
257,47,377,1
258,47,624,1
259,47,374,1
260,47,567,1
261,47,78,1
262,47,445,1
263,47,896,1
264,48,789,1
265,54,115,1
266,54,233,1
267,54,441,1
268,54,394,1
269,54,499,1
270,54,470,1
271,54,515,1
272,54,465,1
273,54,41,1
274,54,864,1
275,54,581,1
276,54,144,1
277,54,22,1
278,54,317,1
279,54,520,1
280,54,96,1
281,54,749,1
282,54,901,1
283,57,147,1
284,57,41,1
285,57,96,1
286,57,901,1
287,57,64,1
288,57,641,1
289,57,54,1
290,57,662,1
291,57,749,1
292,57,319,1
293,57,499,1
294,57,271,1
295,57,144,1
296,64,669,1
297,64,115,1
298,64,610,1
299,64,946,1
300,64,750,1
301,64,496,1
302,64,211,1
303,64,520,1
304,64,148,1
305,64,850,1
306,64,662,1
307,64,250,1
308,64,481,1
309,64,936,1
310,64,523,1
311,64,902,1
312,64,786,1
313,64,40,1
314,64,222,1
315,64,296,1
316,64,24,1
317,64,874,1
318,64,854,1
319,64,85,1
320,64,901,1
321,64,736,1
322,64,300,1
323,64,67,1
324,64,190,1
325,64,515,1
326,64,406,1
327,64,470,1
328,64,319,1
329,64,538,1
330,64,916,1
331,64,634,1
332,64,745,1
333,64,387,1
334,64,242,1
335,64,144,1
336,64,500,1
337,64,103,1
338,64,486,1
339,64,581,1
340,64,482,1
341,64,386,1
342,64,112,1
343,64,838,1
344,67,103,1
345,67,64,1
346,67,112,1
347,67,250,1
348,67,121,1
349,67,441,1
350,67,831,1
351,67,624,1
352,67,530,1
353,67,78,1
354,67,96,1
355,67,339,1
356,67,314,1
357,67,567,1
358,67,41,1
359,67,604,1
360,67,864,1
361,67,515,1
362,67,11,1
363,67,499,1
364,67,815,1
365,67,731,1
366,67,779,1
367,67,751,1
