,TF,Target,Label
0,0,14,1
1,0,1127,1
2,0,1055,1
3,0,470,1
4,0,1118,1
5,0,1143,1
6,0,1276,1
7,0,996,1
8,2,827,1
9,2,418,1
10,2,878,1
11,2,481,1
12,2,1136,1
13,2,336,1
14,2,585,1
15,2,328,1
16,2,1263,1
17,2,700,1
18,2,832,1
19,2,319,1
20,2,148,1
21,2,16,1
22,2,560,1
23,2,956,1
24,2,965,1
25,2,945,1
26,2,1020,1
27,2,25,1
28,2,579,1
29,2,489,1
30,2,141,1
31,2,810,1
32,2,694,1
33,2,882,1
34,2,324,1
35,2,850,1
36,2,4,1
37,2,92,1
38,2,952,1
39,2,1312,1
40,2,578,1
41,2,570,1
42,2,21,1
43,2,180,1
44,8,625,1
45,8,813,1
46,8,935,1
47,8,298,1
48,8,92,1
49,8,332,1
50,8,1085,1
51,8,827,1
52,8,607,1
53,8,700,1
54,8,239,1
55,8,319,1
56,8,1283,1
57,8,229,1
58,8,1076,1
59,8,1083,1
60,8,522,1
61,8,81,1
62,8,888,1
63,8,328,1
64,8,578,1
65,8,1074,1
66,8,748,1
67,8,642,1
68,8,531,1
69,8,882,1
70,8,585,1
71,8,884,1
72,8,173,1
73,8,336,1
74,8,1204,1
75,8,1263,1
76,8,125,1
77,8,944,1
78,11,0,1
79,11,1118,1
80,11,312,1
81,11,187,1
82,11,470,1
83,11,1179,1
84,11,1057,1
85,11,589,1
86,14,952,1
87,14,856,1
88,14,89,1
89,14,732,1
90,14,0,1
91,14,1064,1
92,14,636,1
93,14,605,1
94,14,1277,1
95,14,26,1
96,14,1057,1
97,14,238,1
98,14,907,1
99,14,533,1
100,14,81,1
101,14,1036,1
102,14,851,1
103,14,1019,1
104,14,308,1
105,14,728,1
106,14,920,1
107,14,311,1
108,14,148,1
109,14,1156,1
110,14,304,1
111,14,1238,1
112,14,207,1
113,14,328,1
114,14,485,1
115,14,20,1
116,14,442,1
117,14,424,1
118,14,899,1
119,14,83,1
120,14,1089,1
121,14,789,1
122,14,1135,1
123,14,1106,1
124,14,187,1
125,14,462,1
126,14,855,1
127,14,455,1
128,14,1127,1
129,14,1310,1
130,14,787,1
131,14,767,1
132,14,556,1
133,14,857,1
134,14,196,1
135,14,496,1
136,14,619,1
137,14,27,1
138,14,417,1
139,14,921,1
140,14,932,1
141,14,1261,1
142,14,936,1
143,14,597,1
144,14,538,1
145,14,1055,1
146,14,31,1
147,14,878,1
148,14,1172,1
149,14,842,1
150,14,1138,1
151,14,287,1
152,14,213,1
153,14,927,1
154,15,1159,1
155,15,1305,1
156,15,1041,1
157,15,682,1
158,15,544,1
159,15,1283,1
160,15,1237,1
161,15,245,1
162,15,1244,1
163,15,578,1
164,15,576,1
165,15,705,1
166,15,447,1
167,15,1193,1
168,16,533,1
169,16,469,1
170,16,781,1
171,16,1019,1
172,16,907,1
173,16,878,1
174,16,952,1
175,16,605,1
176,16,418,1
177,20,68,1
178,20,1193,1
179,20,14,1
180,20,506,1
181,20,1305,1
182,20,921,1
183,20,251,1
184,20,915,1
185,21,533,1
186,21,1019,1
187,21,952,1
188,21,2,1
189,21,180,1
190,21,781,1
191,21,25,1
192,21,795,1
193,21,413,1
194,23,142,1
195,23,1164,1
196,25,1015,1
197,25,1138,1
198,25,1167,1
199,25,472,1
200,25,148,1
201,25,196,1
202,25,705,1
203,25,1244,1
204,25,921,1
205,25,1127,1
206,25,1019,1
207,25,804,1
208,25,829,1
209,25,1284,1
210,25,205,1
211,25,1314,1
212,25,74,1
213,25,907,1
214,25,263,1
215,25,1008,1
216,25,142,1
217,25,168,1
218,25,1030,1
219,25,1277,1
220,25,1238,1
221,25,83,1
222,25,311,1
223,25,619,1
224,25,851,1
225,25,656,1
226,25,180,1
227,25,927,1
228,25,14,1
229,25,390,1
230,25,1176,1
231,25,126,1
232,25,455,1
233,25,413,1
234,25,663,1
235,25,89,1
236,25,795,1
237,25,837,1
238,25,356,1
239,25,568,1
240,25,716,1
241,25,832,1
242,25,187,1
243,31,14,1
244,31,251,1
245,32,682,1
246,32,935,1
247,32,173,1
248,32,450,1
249,32,489,1
250,32,882,1
251,32,809,1
252,33,816,1
253,33,142,1
254,33,139,1
255,33,1151,1
256,33,971,1
257,36,867,1
258,40,1127,1
259,40,1118,1
260,40,1089,1
261,40,187,1
262,40,14,1
263,48,1164,1
264,48,463,1
265,48,689,1
266,48,1102,1
267,48,144,1
268,68,20,1
269,68,316,1
270,68,506,1
271,68,83,1
272,70,548,1
273,70,1231,1
274,74,878,1
275,74,829,1
276,74,356,1
277,74,25,1
278,74,161,1
279,74,605,1
280,74,804,1
281,74,148,1
282,74,837,1
283,74,159,1
284,74,413,1
285,74,339,1
286,74,1176,1
287,74,396,1
288,74,885,1
289,82,1075,1
290,82,512,1
291,82,414,1
292,83,1244,1
293,83,716,1
294,83,356,1
295,83,915,1
296,83,705,1
297,83,736,1
298,83,996,1
299,83,325,1
300,83,220,1
301,83,1030,1
302,83,418,1
303,83,1046,1
304,83,1181,1
305,83,1120,1
306,83,1019,1
307,83,1193,1
308,83,324,1
309,83,475,1
310,83,68,1
311,83,878,1
312,83,832,1
313,83,1305,1
314,83,1135,1
315,83,831,1
316,83,774,1
317,83,316,1
318,83,20,1
319,83,809,1
320,83,251,1
321,89,533,1
322,89,1127,1
323,89,1138,1
324,89,148,1
325,89,1238,1
326,89,936,1
327,89,187,1
328,89,25,1
329,89,1068,1
330,89,1167,1
331,89,418,1
332,89,1277,1
333,89,455,1
334,89,851,1
335,89,681,1
336,89,1055,1
337,89,605,1
338,89,440,1
339,89,996,1
340,89,238,1
341,89,927,1
342,89,311,1
343,89,899,1
344,91,578,1
345,91,357,1
346,91,271,1
347,91,897,1
348,91,428,1
349,91,527,1
350,91,294,1
351,91,437,1
352,91,809,1
353,91,486,1
354,91,447,1
355,91,544,1
356,102,1039,1
357,102,1093,1
358,104,1045,1
359,109,809,1
360,109,227,1
361,109,1236,1
362,139,801,1
363,139,544,1
364,139,1314,1
365,139,668,1
366,139,736,1
367,139,568,1
368,139,1016,1
369,139,816,1
370,139,1164,1
371,142,1019,1
372,142,897,1
373,142,1151,1
374,142,781,1
375,142,355,1
376,142,216,1
377,142,544,1
378,142,1246,1
379,142,453,1
380,142,1135,1
381,142,801,1
382,142,25,1
383,142,340,1
384,142,704,1
385,142,654,1
386,142,568,1
387,142,809,1
388,142,1288,1
389,142,1012,1
390,142,33,1
391,142,173,1
392,142,971,1
393,142,126,1
394,142,816,1
395,142,1083,1
396,142,463,1
397,142,268,1
398,142,442,1
399,142,578,1
400,142,533,1
401,142,1275,1
402,144,463,1
403,144,597,1
404,144,48,1
405,144,1164,1
406,144,668,1
407,144,139,1
408,148,781,1
409,148,533,1
410,148,1030,1
411,148,716,1
412,148,650,1
413,148,390,1
414,148,469,1
415,148,14,1
416,148,1089,1
417,148,230,1
418,148,462,1
419,148,126,1
420,148,196,1
421,148,21,1
422,148,705,1
423,148,619,1
424,148,1015,1
425,148,1138,1
426,148,681,1
427,148,339,1
428,148,679,1
429,148,551,1
430,148,907,1
431,148,356,1
432,148,161,1
433,148,663,1
434,148,1283,1
435,148,16,1
436,148,481,1
437,148,629,1
438,148,142,1
439,148,263,1
440,148,455,1
441,148,656,1
442,148,936,1
443,148,568,1
444,148,692,1
445,148,1106,1
446,148,1284,1
447,148,442,1
448,148,1301,1
449,148,311,1
450,148,578,1
451,148,1311,1
452,148,74,1
453,148,927,1
454,148,1275,1
455,148,878,1
456,158,1110,1
457,158,1181,1
458,158,716,1
459,158,736,1
460,159,161,1
461,159,25,1
462,159,1176,1
463,159,74,1
464,159,418,1
465,159,878,1
466,159,781,1
467,159,1214,1
468,159,605,1
469,159,907,1
470,159,679,1
471,159,663,1
472,161,885,1
473,161,418,1
474,161,159,1
475,161,1176,1
476,161,679,1
477,161,1284,1
478,161,952,1
479,161,413,1
480,161,692,1
481,161,1019,1
482,161,795,1
483,161,605,1
484,161,533,1
485,161,25,1
486,161,804,1
487,165,409,1
488,168,620,1
489,168,781,1
490,168,904,1
491,168,25,1
492,168,185,1
493,168,533,1
494,168,605,1
495,168,413,1
496,173,544,1
497,173,1283,1
498,173,1204,1
499,173,607,1
500,173,347,1
501,173,298,1
502,173,608,1
503,173,827,1
504,173,1029,1
505,173,682,1
506,173,748,1
507,173,32,1
508,173,522,1
509,173,884,1
510,173,233,1
511,173,8,1
512,173,578,1
513,173,944,1
514,173,450,1
515,173,813,1
516,173,319,1
517,173,628,1
518,173,736,1
519,173,642,1
520,173,62,1
521,173,142,1
522,173,809,1
523,173,585,1
524,173,200,1
525,180,418,1
526,180,319,1
527,180,229,1
528,180,605,1
529,180,16,1
530,180,944,1
531,180,952,1
532,180,469,1
533,180,700,1
534,180,336,1
535,180,4,1
536,180,585,1
537,180,513,1
538,180,607,1
539,180,475,1
540,180,81,1
541,180,1312,1
542,180,781,1
543,180,1168,1
544,180,882,1
545,180,413,1
546,180,906,1
547,180,570,1
548,180,86,1
549,180,21,1
550,180,935,1
551,180,850,1
552,180,694,1
553,180,328,1
554,180,324,1
555,180,200,1
556,180,481,1
557,180,533,1
558,180,1019,1
559,187,681,1
560,187,732,1
561,187,1138,1
562,187,861,1
563,187,781,1
564,187,311,1
565,187,1015,1
566,187,11,1
567,187,40,1
568,187,440,1
569,187,878,1
570,187,927,1
571,187,1019,1
572,187,952,1
573,187,551,1
574,187,1238,1
575,187,650,1
576,187,14,1
577,187,899,1
578,187,533,1
579,187,455,1
580,187,1111,1
581,187,907,1
582,187,25,1
583,187,1127,1
584,187,1216,1
585,187,692,1
586,187,1167,1
587,190,899,1
588,191,1244,1
589,191,15,1
590,207,700,1
591,207,935,1
592,207,1183,1
593,207,578,1
594,207,827,1
595,207,336,1
596,207,1204,1
597,207,882,1
598,207,126,1
599,207,1075,1
600,207,114,1
601,207,62,1
602,207,229,1
603,207,884,1
604,207,319,1
605,207,531,1
606,207,489,1
607,207,1263,1
608,207,233,1
609,207,607,1
610,207,477,1
611,212,824,1
612,212,355,1
613,212,1181,1
614,212,716,1
615,212,964,1
616,212,1135,1
617,214,703,1
618,214,1209,1
619,214,810,1
620,214,294,1
621,216,1181,1
622,216,46,1
623,216,262,1
624,216,529,1
625,216,792,1
626,216,704,1
627,216,1135,1
628,216,142,1
629,223,1166,1
630,225,324,1
631,227,608,1
632,227,809,1
633,230,161,1
634,230,795,1
635,230,952,1
636,230,1019,1
637,230,605,1
638,230,885,1
639,230,1079,1
640,230,74,1
641,230,809,1
642,230,148,1
643,230,878,1
644,230,413,1
645,238,605,1
646,238,14,1
647,238,878,1
648,238,851,1
649,238,781,1
650,238,205,1
651,238,663,1
652,238,848,1
653,238,650,1
654,238,544,1
655,238,1077,1
656,238,943,1
657,238,551,1
658,238,927,1
659,238,89,1
660,238,936,1
661,238,148,1
662,238,952,1
663,238,619,1
664,238,996,1
665,238,681,1
666,238,455,1
667,238,462,1
668,238,1055,1
669,238,1118,1
670,238,25,1
671,242,417,1
672,242,502,1
673,242,488,1
674,251,390,1
675,251,126,1
676,251,736,1
677,251,31,1
678,251,518,1
679,251,506,1
680,251,316,1
681,251,418,1
682,251,844,1
683,251,605,1
684,251,921,1
685,251,568,1
686,251,724,1
687,251,15,1
688,263,927,1
689,263,1277,1
690,263,1238,1
691,263,551,1
692,263,1055,1
693,263,878,1
694,263,936,1
695,263,196,1
696,263,650,1
697,263,1118,1
698,263,25,1
699,263,996,1
700,263,907,1
701,263,848,1
702,263,619,1
703,263,1127,1
704,263,1019,1
705,263,952,1
706,263,899,1
707,263,413,1
708,263,1015,1
709,263,455,1
710,263,418,1
711,263,605,1
712,271,956,1
713,271,897,1
714,271,736,1
715,271,4,1
716,271,437,1
717,271,809,1
718,271,919,1
719,271,790,1
720,271,857,1
721,271,1181,1
722,271,682,1
723,271,544,1
724,284,968,1
725,284,855,1
726,284,230,1
727,284,1146,1
728,289,974,1
729,289,1288,1
730,289,947,1
731,291,568,1
732,291,625,1
733,291,699,1
734,291,734,1
735,291,81,1
736,291,809,1
737,291,932,1
738,291,229,1
739,291,944,1
740,291,956,1
741,291,114,1
742,291,1110,1
743,291,736,1
744,291,1290,1
745,291,92,1
746,291,62,1
747,291,682,1
748,291,544,1
749,291,884,1
750,291,935,1
751,291,336,1
752,291,1314,1
753,291,889,1
754,291,700,1
755,291,857,1
756,291,827,1
757,291,233,1
758,291,91,1
759,294,1290,1
760,294,1085,1
761,294,1110,1
762,294,214,1
763,294,91,1
764,294,736,1
765,298,1312,1
766,298,884,1
767,298,531,1
768,298,734,1
769,298,1041,1
770,298,956,1
771,298,319,1
772,298,1283,1
773,298,328,1
774,298,239,1
775,298,8,1
776,298,944,1
777,298,578,1
778,298,233,1
779,298,935,1
780,298,827,1
781,298,336,1
782,298,813,1
783,298,1076,1
784,298,200,1
785,298,489,1
786,298,173,1
787,304,407,1
788,304,307,1
789,304,1115,1
790,304,419,1
791,304,761,1
792,304,273,1
793,304,467,1
794,304,498,1
795,304,228,1
796,304,610,1
797,304,1265,1
798,304,185,1
799,304,771,1
800,304,1149,1
801,304,924,1
802,304,404,1
803,304,1157,1
804,304,794,1
805,304,539,1
806,304,14,1
807,304,1061,1
808,304,644,1
809,304,1196,1
810,304,476,1
811,304,1178,1
812,304,583,1
813,304,192,1
814,304,582,1
815,304,213,1
816,304,367,1
817,308,1213,1
818,308,789,1
819,308,485,1
820,308,1290,1
821,308,968,1
822,308,1059,1
823,308,810,1
824,308,1040,1
825,309,1314,1
826,311,1118,1
827,311,1301,1
828,311,781,1
829,311,848,1
830,311,878,1
831,311,187,1
832,311,1111,1
833,311,196,1
834,311,681,1
835,311,1068,1
836,311,663,1
837,311,413,1
838,311,263,1
839,311,14,1
840,311,636,1
841,311,1277,1
842,311,605,1
843,311,907,1
844,311,148,1
845,311,851,1
846,311,1167,1
847,311,936,1
848,311,1019,1
849,311,551,1
850,312,11,1
851,312,597,1
852,316,506,1
853,316,867,1
854,316,1064,1
855,316,83,1
856,316,705,1
857,316,68,1
858,316,220,1
859,316,921,1
860,316,251,1
861,325,1120,1
862,325,1244,1
863,325,705,1
864,325,985,1
865,325,568,1
866,325,809,1
867,325,1314,1
868,325,394,1
869,325,1010,1
870,325,172,1
871,348,173,1
872,348,8,1
873,348,1088,1
874,349,684,1
875,351,469,1
876,355,83,1
877,355,142,1
878,355,629,1
879,355,857,1
880,355,25,1
881,355,1244,1
882,355,1087,1
883,355,413,1
884,355,148,1
885,355,705,1
886,355,716,1
887,355,921,1
888,355,878,1
889,355,824,1
890,355,907,1
891,355,1026,1
892,355,1135,1
893,355,418,1
894,355,769,1
895,355,568,1
896,356,628,1
897,356,952,1
898,356,605,1
899,356,355,1
900,356,568,1
901,356,74,1
902,356,339,1
903,356,704,1
904,356,705,1
905,356,629,1
906,356,161,1
907,356,716,1
908,356,16,1
909,356,795,1
910,356,1019,1
911,356,25,1
912,356,148,1
913,356,142,1
914,356,533,1
915,356,1135,1
916,357,271,1
917,357,91,1
918,359,1031,1
919,359,1261,1
920,359,626,1
921,359,1265,1
922,359,1155,1
923,359,1196,1
924,359,1178,1
925,359,66,1
926,359,1248,1
927,359,961,1
928,359,1157,1
929,359,341,1
930,359,407,1
931,359,192,1
932,359,67,1
933,359,332,1
934,359,467,1
935,359,1036,1
936,359,501,1
937,359,923,1
938,359,222,1
939,359,941,1
940,359,390,1
941,359,725,1
942,359,737,1
943,359,1171,1
944,359,761,1
945,359,1063,1
946,359,259,1
947,359,771,1
948,359,125,1
949,359,1166,1
950,359,969,1
951,359,692,1
952,359,1152,1
953,359,1149,1
954,359,1047,1
955,359,762,1
956,359,112,1
957,359,1057,1
958,359,644,1
959,380,1008,1
960,380,477,1
961,380,1159,1
962,380,518,1
963,380,3,1
964,380,914,1
965,380,469,1
966,380,578,1
967,390,105,1
968,390,359,1
969,390,915,1
970,390,148,1
971,390,568,1
972,390,126,1
973,390,605,1
974,390,485,1
975,390,418,1
976,390,1049,1
977,390,1019,1
978,390,907,1
979,396,74,1
980,396,1134,1
981,410,158,1
982,410,943,1
983,411,184,1
984,413,462,1
985,413,485,1
986,413,161,1
987,413,1089,1
988,413,832,1
989,413,168,1
990,413,1055,1
991,413,996,1
992,413,1118,1
993,413,1049,1
994,413,21,1
995,413,679,1
996,413,629,1
997,413,159,1
998,413,1015,1
999,413,743,1
1000,413,1176,1
1001,413,1106,1
1002,413,692,1
1003,413,481,1
1004,413,180,1
1005,413,907,1
1006,413,238,1
1007,413,568,1
1008,413,781,1
1009,413,126,1
1010,413,355,1
1011,413,263,1
1012,413,14,1
1013,413,795,1
1014,413,848,1
1015,413,251,1
1016,413,192,1
1017,413,2,1
1018,413,455,1
1019,413,1138,1
1020,413,469,1
1021,413,663,1
1022,413,187,1
1023,413,716,1
1024,413,142,1
1025,413,74,1
1026,413,1167,1
1027,413,1008,1
1028,413,89,1
1029,413,148,1
1030,413,551,1
1031,413,1030,1
1032,413,927,1
1033,413,899,1
1034,413,605,1
1035,413,1283,1
1036,418,919,1
1037,418,2,1
1038,418,126,1
1039,418,795,1
1040,418,650,1
1041,418,907,1
1042,418,89,1
1043,418,196,1
1044,418,390,1
1045,418,1089,1
1046,418,83,1
1047,418,168,1
1048,418,16,1
1049,418,1284,1
1050,418,187,1
1051,418,681,1
1052,418,469,1
1053,418,1055,1
1054,418,311,1
1055,418,442,1
1056,418,921,1
1057,418,1138,1
1058,418,663,1
1059,418,485,1
1060,418,302,1
1061,418,339,1
1062,418,161,1
1063,418,462,1
1064,418,263,1
1065,418,605,1
1066,418,356,1
1067,418,74,1
1068,418,1015,1
1069,418,1176,1
1070,418,1283,1
1071,418,1238,1
1072,418,481,1
1073,418,692,1
1074,418,936,1
1075,418,148,1
1076,418,205,1
1077,418,855,1
1078,418,455,1
1079,418,1127,1
1080,418,848,1
1081,418,1019,1
1082,418,578,1
1083,418,413,1
1084,418,927,1
1085,418,568,1
1086,418,1167,1
1087,418,472,1
1088,425,809,1
1089,428,91,1
1090,428,437,1
1091,428,271,1
1092,428,578,1
1093,437,809,1
1094,437,578,1
1095,437,271,1
1096,437,1181,1
1097,442,673,1
1098,442,475,1
1099,442,485,1
1100,442,956,1
1101,442,878,1
1102,442,1283,1
1103,442,985,1
1104,442,578,1
1105,442,200,1
1106,442,832,1
1107,442,142,1
1108,442,1263,1
1109,442,1020,1
1110,442,26,1
1111,442,324,1
1112,442,148,1
1113,442,481,1
1114,442,461,1
1115,442,781,1
1116,442,1019,1
1117,447,366,1
1118,447,15,1
1119,447,544,1
1120,447,1283,1
1121,447,1290,1
1122,447,809,1
1123,447,91,1
1124,447,1008,1
1125,447,897,1
1126,447,271,1
1127,450,298,1
1128,450,491,1
1129,450,1038,1
1130,450,32,1
1131,450,748,1
1132,450,8,1
1133,450,423,1
1134,450,608,1
1135,450,642,1
1136,450,239,1
1137,455,440,1
1138,455,1111,1
1139,455,89,1
1140,455,263,1
1141,455,650,1
1142,455,413,1
1143,455,311,1
1144,455,238,1
1145,455,878,1
1146,455,1068,1
1147,455,899,1
1148,455,533,1
1149,455,952,1
1150,455,1127,1
1151,455,605,1
1152,455,462,1
1153,455,1138,1
1154,455,681,1
1155,455,196,1
1156,455,936,1
1157,455,848,1
1158,455,781,1
1159,455,418,1
1160,455,240,1
1161,455,907,1
1162,462,1301,1
1163,462,551,1
1164,462,663,1
1165,462,1167,1
1166,462,205,1
1167,462,413,1
1168,462,692,1
1169,462,848,1
1170,462,311,1
1171,462,681,1
1172,462,927,1
1173,462,14,1
1174,462,878,1
1175,462,936,1
1176,462,952,1
1177,462,1055,1
1178,462,1111,1
1179,462,187,1
1180,462,605,1
1181,462,996,1
1182,462,1089,1
1183,462,851,1
1184,462,1277,1
1185,462,196,1
1186,463,48,1
1187,463,716,1
1188,463,142,1
1189,463,1016,1
1190,463,544,1
1191,463,728,1
1192,463,1164,1
1193,463,438,1
1194,469,16,1
1195,469,180,1
1196,469,413,1
1197,469,351,1
1198,469,576,1
1199,469,380,1
1200,469,952,1
1201,469,608,1
1202,469,844,1
1203,469,25,1
1204,469,418,1
1205,469,21,1
1206,469,921,1
1207,469,781,1
1208,469,1159,1
1209,469,878,1
1210,470,11,1
1211,470,1179,1
1212,470,14,1
1213,470,936,1
1214,470,499,1
1215,470,996,1
1216,470,1127,1
1217,472,148,1
1218,472,418,1
1219,472,763,1
1220,472,679,1
1221,472,795,1
1222,472,105,1
1223,472,533,1
1224,472,413,1
1225,472,781,1
1226,472,907,1
1227,486,91,1
1228,488,1276,1
