,TF,Target,Label
0,2,976,1
1,2,416,1
2,2,519,1
3,2,319,1
4,2,328,1
5,2,1033,1
6,2,1073,1
7,2,177,1
8,2,262,1
9,2,279,1
10,2,775,1
11,2,411,1
12,2,835,1
13,2,834,1
14,2,163,1
15,2,552,1
16,2,640,1
17,2,887,1
18,4,363,1
19,4,1064,1
20,4,1026,1
21,4,171,1
22,4,245,1
23,4,328,1
24,4,221,1
25,4,948,1
26,4,589,1
27,4,1043,1
28,4,679,1
29,4,843,1
30,4,989,1
31,4,961,1
32,4,867,1
33,4,79,1
34,4,1065,1
35,4,218,1
36,4,764,1
37,4,700,1
38,4,460,1
39,4,409,1
40,4,286,1
41,4,288,1
42,4,495,1
43,4,364,1
44,4,68,1
45,4,929,1
46,4,582,1
47,4,453,1
48,4,103,1
49,4,89,1
50,4,189,1
51,4,292,1
52,4,628,1
53,4,435,1
54,6,860,1
55,6,1106,1
56,7,1042,1
57,7,961,1
58,7,912,1
59,7,837,1
60,7,745,1
61,7,407,1
62,7,31,1
63,7,185,1
64,7,575,1
65,7,85,1
66,7,823,1
67,7,987,1
68,8,445,1
69,8,362,1
70,8,908,1
71,8,455,1
72,8,912,1
73,8,160,1
74,8,527,1
75,10,961,1
76,10,185,1
77,10,867,1
78,10,83,1
79,10,500,1
80,10,460,1
81,10,125,1
82,10,468,1
83,10,509,1
84,10,733,1
85,10,1099,1
86,10,495,1
87,10,85,1
88,11,742,1
89,11,300,1
90,14,1113,1
91,15,48,1
92,21,247,1
93,21,727,1
94,21,559,1
95,21,685,1
96,21,582,1
97,21,990,1
98,21,660,1
99,21,423,1
100,21,764,1
101,21,182,1
102,21,48,1
103,21,1115,1
104,21,174,1
105,21,1010,1
106,21,775,1
107,21,555,1
108,21,598,1
109,21,475,1
110,21,292,1
111,21,54,1
112,21,653,1
113,21,393,1
114,21,118,1
115,21,951,1
116,21,628,1
117,21,654,1
118,21,736,1
119,21,402,1
120,21,269,1
121,21,328,1
122,21,273,1
123,21,196,1
124,21,989,1
125,21,929,1
126,21,648,1
127,21,189,1
128,21,245,1
129,21,1041,1
130,21,948,1
131,21,906,1
132,21,1058,1
133,21,917,1
134,21,515,1
135,21,995,1
136,21,104,1
137,21,329,1
138,21,655,1
139,24,928,1
140,24,1022,1
141,24,370,1
142,24,1032,1
143,24,279,1
144,24,4,1
145,24,201,1
146,24,196,1
147,24,944,1
148,24,989,1
149,24,782,1
150,24,700,1
151,24,595,1
152,24,660,1
153,24,95,1
154,24,887,1
155,24,189,1
156,24,34,1
157,24,685,1
158,24,1023,1
159,24,728,1
160,24,917,1
161,24,1072,1
162,24,97,1
163,31,85,1
164,31,575,1
165,31,745,1
166,31,980,1
167,31,460,1
168,31,589,1
169,31,7,1
170,31,994,1
171,31,425,1
172,31,185,1
173,31,912,1
174,31,407,1
175,34,79,1
176,34,567,1
177,34,196,1
178,34,817,1
179,34,536,1
180,34,484,1
181,34,54,1
182,34,24,1
183,34,559,1
184,34,435,1
185,34,1064,1
186,34,221,1
187,34,901,1
188,34,364,1
189,34,171,1
190,34,589,1
191,34,1119,1
192,34,1022,1
193,34,987,1
194,34,989,1
195,34,21,1
196,34,648,1
197,34,998,1
198,34,1058,1
199,34,595,1
200,34,1072,1
201,34,1032,1
202,34,782,1
203,34,225,1
204,34,1061,1
205,34,611,1
206,34,660,1
207,34,411,1
208,34,772,1
209,34,976,1
210,34,189,1
211,34,944,1
212,34,929,1
213,34,245,1
214,34,212,1
215,34,645,1
216,34,369,1
217,34,653,1
218,34,664,1
219,40,2,1
220,40,1065,1
221,40,928,1
222,42,435,1
223,43,495,1
224,43,961,1
225,43,589,1
226,43,987,1
227,48,21,1
228,48,654,1
229,48,1033,1
230,48,475,1
231,48,329,1
232,48,648,1
233,48,846,1
234,48,655,1
235,50,966,1
236,50,676,1
237,54,998,1
238,54,157,1
239,54,1065,1
240,54,34,1
241,54,1058,1
242,54,648,1
243,54,21,1
244,54,245,1
245,55,640,1
246,55,157,1
247,55,448,1
248,55,869,1
249,55,426,1
250,55,536,1
251,55,460,1
252,55,477,1
253,55,1117,1
254,55,79,1
255,55,83,1
256,55,107,1
257,55,848,1
258,56,702,1
259,56,1065,1
260,63,1102,1
261,63,1067,1
262,63,935,1
263,63,746,1
264,63,881,1
265,63,1057,1
266,65,481,1
267,65,514,1
268,65,588,1
269,65,1103,1
270,65,766,1
271,68,192,1
272,68,136,1
273,68,170,1
274,68,1026,1
275,71,857,1
276,71,389,1
277,71,633,1
278,71,86,1
279,71,928,1
280,71,533,1
281,71,328,1
282,72,296,1
283,72,444,1
284,76,559,1
285,76,184,1
286,77,548,1
287,77,1067,1
288,77,673,1
289,77,487,1
290,77,874,1
291,77,383,1
292,77,953,1
293,77,806,1
294,77,374,1
295,77,717,1
296,77,867,1
297,77,902,1
298,79,1095,1
299,79,343,1
300,79,443,1
301,79,956,1
302,79,403,1
303,79,823,1
304,79,383,1
305,79,1042,1
306,79,979,1
307,79,407,1
308,79,902,1
309,79,2,1
310,79,460,1
311,79,808,1
312,79,174,1
313,79,1060,1
314,79,871,1
315,79,1059,1
316,79,633,1
317,79,501,1
318,79,745,1
319,79,406,1
320,79,985,1
321,79,491,1
322,79,961,1
323,79,980,1
324,79,31,1
325,79,1000,1
326,79,833,1
327,79,1072,1
328,79,987,1
329,79,337,1
330,79,217,1
331,79,7,1
332,79,558,1
333,79,737,1
334,79,994,1
335,79,141,1
336,79,655,1
337,79,1077,1
338,79,185,1
339,79,389,1
340,79,1032,1
341,79,912,1
342,79,432,1
343,79,55,1
344,79,425,1
345,79,77,1
346,81,1102,1
347,81,966,1
348,81,63,1
349,81,458,1
350,81,269,1
351,81,999,1
352,81,754,1
353,81,238,1
354,81,210,1
355,83,987,1
356,83,393,1
357,83,10,1
358,83,1117,1
359,83,185,1
360,83,680,1
361,83,629,1
362,83,640,1
363,83,846,1
364,83,848,1
365,83,867,1
366,83,500,1
367,83,509,1
368,83,468,1
369,83,495,1
370,83,477,1
371,83,448,1
372,83,55,1
373,83,364,1
374,85,842,1
375,85,528,1
376,85,217,1
377,85,7,1
378,85,987,1
379,85,425,1
380,85,994,1
381,85,837,1
382,85,495,1
383,85,79,1
384,85,961,1
385,85,745,1
386,85,575,1
387,85,1117,1
388,85,346,1
389,85,1099,1
390,86,928,1
391,86,389,1
392,86,561,1
393,86,633,1
394,86,71,1
395,89,174,1
396,89,141,1
397,89,737,1
398,89,715,1
399,89,755,1
400,89,443,1
401,89,996,1
402,89,4,1
403,91,855,1
404,91,416,1
405,91,691,1
406,91,787,1
407,94,846,1
408,94,107,1
409,94,314,1
410,94,1040,1
411,94,703,1
412,94,715,1
413,94,869,1
414,95,898,1
415,95,24,1
416,95,865,1
417,95,287,1
418,95,895,1
419,95,1065,1
420,95,269,1
421,95,532,1
422,95,867,1
423,95,444,1
424,95,1018,1
425,95,754,1
426,95,1097,1
427,95,985,1
428,95,582,1
429,97,742,1
430,97,13,1
431,97,24,1
432,97,1065,1
433,97,944,1
434,97,466,1
435,99,27,1
436,99,971,1
437,99,1033,1
438,99,648,1
439,99,81,1
440,99,269,1
441,99,274,1
442,99,866,1
443,99,705,1
444,99,742,1
445,99,1065,1
446,99,1069,1
447,99,882,1
448,100,502,1
449,100,661,1
450,100,1094,1
451,100,157,1
452,103,680,1
453,103,185,1
454,103,179,1
455,103,415,1
456,103,987,1
457,103,648,1
458,103,611,1
459,103,1043,1
460,103,1022,1
461,104,628,1
462,104,843,1
463,105,160,1
464,105,495,1
465,105,185,1
466,105,501,1
467,105,350,1
468,105,961,1
469,105,362,1
470,105,1099,1
471,107,869,1
472,107,1040,1
473,107,846,1
474,107,94,1
475,107,334,1
476,107,55,1
477,110,1002,1
478,111,437,1
479,111,333,1
480,111,429,1
481,111,287,1
482,111,812,1
483,116,8,1
484,116,648,1
485,116,445,1
486,116,987,1
487,116,185,1
488,116,292,1
489,116,1072,1
490,116,460,1
491,116,1061,1
492,116,204,1
493,117,588,1
494,117,402,1
495,118,411,1
496,118,917,1
497,118,4,1
498,118,976,1
499,118,640,1
500,118,782,1
501,118,1022,1
502,118,567,1
503,118,851,1
504,118,247,1
505,118,177,1
506,118,495,1
507,118,369,1
508,118,185,1
509,118,34,1
510,118,595,1
511,118,989,1
512,118,589,1
513,118,280,1
514,118,996,1
515,118,987,1
516,118,364,1
517,118,171,1
518,118,865,1
519,118,765,1
520,119,247,1
521,119,765,1
522,119,456,1
523,123,329,1
524,123,729,1
525,123,402,1
526,123,250,1
527,125,362,1
528,125,777,1
529,125,10,1
530,125,83,1
531,125,676,1
532,125,611,1
533,125,225,1
534,125,763,1
535,125,185,1
536,125,1111,1
537,125,648,1
538,125,980,1
539,125,212,1
540,125,1061,1
541,125,1117,1
542,125,495,1
543,125,500,1
544,125,95,1
545,136,192,1
546,136,679,1
547,136,1097,1
548,136,659,1
549,136,1026,1
550,141,715,1
551,141,89,1
552,141,755,1
553,141,4,1
554,141,443,1
555,141,624,1
556,141,740,1
557,141,996,1
558,144,722,1
559,145,1031,1
560,145,802,1
561,145,742,1
562,148,1065,1
563,148,504,1
564,148,1103,1
565,148,1079,1
566,148,727,1
567,149,951,1
568,149,648,1
569,149,379,1
570,149,499,1
571,149,1065,1
572,149,763,1
573,160,355,1
574,160,1055,1
575,160,1072,1
576,160,362,1
577,160,495,1
578,160,445,1
579,160,987,1
580,160,8,1
581,160,480,1
582,163,177,1
583,163,1003,1
584,163,167,1
585,163,654,1
586,163,817,1
587,163,292,1
588,165,4,1
589,167,456,1
590,167,2,1
591,167,917,1
592,167,976,1
593,167,765,1
594,167,177,1
595,167,901,1
596,167,865,1
597,167,34,1
598,167,118,1
599,167,777,1
600,167,292,1
601,167,989,1
602,167,1004,1
603,167,595,1
604,170,1083,1
605,170,453,1
606,170,423,1
607,170,68,1
608,170,940,1
609,171,1022,1
610,171,435,1
611,171,495,1
612,171,611,1
613,171,185,1
614,171,501,1
615,171,286,1
616,171,288,1
617,171,648,1
618,171,460,1
619,171,42,1
620,171,976,1
621,171,280,1
622,171,598,1
623,171,589,1
624,171,118,1
625,172,1079,1
626,172,713,1
627,172,588,1
628,172,214,1
629,173,982,1
630,174,21,1
631,174,89,1
632,174,443,1
633,174,715,1
634,174,996,1
635,174,624,1
636,174,79,1
637,174,740,1
638,174,682,1
639,175,775,1
640,175,1101,1
641,175,327,1
642,175,857,1
643,176,597,1
644,177,917,1
645,177,167,1
646,177,1003,1
647,177,221,1
648,177,765,1
649,177,567,1
650,177,2,1
651,177,989,1
652,177,817,1
653,177,118,1
654,177,292,1
655,178,1064,1
656,178,887,1
657,179,415,1
658,179,258,1
659,179,648,1
660,179,1022,1
661,179,1043,1
662,181,460,1
663,181,501,1
664,181,495,1
665,181,961,1
666,181,185,1
667,182,582,1
668,182,921,1
669,182,653,1
670,182,727,1
671,182,515,1
672,182,1032,1
673,182,736,1
674,185,777,1
675,185,1072,1
676,185,288,1
677,185,648,1
678,185,575,1
679,185,649,1
680,185,393,1
681,185,1061,1
682,185,912,1
683,185,445,1
684,185,171,1
685,185,160,1
686,185,31,1
687,185,772,1
688,185,280,1
689,185,407,1
690,185,221,1
691,185,629,1
692,185,125,1
693,185,1111,1
694,185,980,1
695,185,362,1
696,185,528,1
697,185,116,1
698,185,346,1
699,185,364,1
700,185,328,1
701,185,480,1
702,185,976,1
703,185,10,1
704,185,989,1
705,185,85,1
706,185,118,1
707,185,948,1
708,185,483,1
709,185,7,1
710,185,500,1
711,185,611,1
712,185,103,1
713,185,217,1
714,185,1032,1
715,185,204,1
716,185,350,1
717,185,286,1
718,189,917,1
719,189,409,1
720,189,559,1
721,189,21,1
722,189,196,1
723,189,764,1
724,189,889,1
725,189,1022,1
726,189,242,1
727,189,245,1
728,189,34,1
729,189,843,1
730,192,4,1
731,192,453,1
732,192,136,1
733,192,170,1
734,192,1083,1
735,196,764,1
736,196,944,1
737,196,245,1
738,196,645,1
739,196,242,1
740,196,24,1
741,196,21,1
742,196,402,1
743,196,34,1
744,196,889,1
745,196,588,1
746,196,1072,1
747,196,1022,1
748,196,1032,1
749,196,409,1
750,198,985,1
751,199,305,1
752,201,989,1
753,201,1047,1
754,201,24,1
755,201,812,1
756,203,889,1
757,203,1090,1
758,204,17,1
759,204,292,1
760,204,648,1
761,204,1072,1
762,204,362,1
763,204,116,1
764,204,393,1
765,204,987,1
766,209,617,1
767,209,691,1
768,209,1033,1
769,209,868,1
770,210,1066,1
771,210,1067,1
772,210,81,1
773,210,1102,1
774,210,458,1
775,210,1057,1
776,212,499,1
777,212,34,1
