,TF,Target,Label
0,4,829,1
1,4,1058,1
2,4,1153,1
3,4,763,1
4,17,659,1
5,17,714,1
6,17,747,1
7,17,723,1
8,17,381,1
9,17,971,1
10,17,215,1
11,17,955,1
12,17,849,1
13,17,1068,1
14,17,935,1
15,17,860,1
16,17,1172,1
17,17,671,1
18,17,890,1
19,17,918,1
20,17,1037,1
21,17,1142,1
22,23,995,1
23,23,750,1
24,23,1176,1
25,27,932,1
26,27,151,1
27,27,709,1
28,27,320,1
29,30,313,1
30,30,350,1
31,30,466,1
32,30,679,1
33,30,732,1
34,30,588,1
35,30,66,1
36,30,315,1
37,30,237,1
38,54,1050,1
39,54,118,1
40,54,1002,1
41,54,217,1
42,59,871,1
43,59,416,1
44,59,302,1
45,59,430,1
46,59,1018,1
47,59,199,1
48,59,1050,1
49,59,164,1
50,59,467,1
51,59,918,1
52,59,990,1
53,59,747,1
54,59,840,1
55,59,860,1
56,59,17,1
57,59,410,1
58,59,1031,1
59,63,241,1
60,72,723,1
61,72,311,1
62,72,307,1
63,72,559,1
64,72,849,1
65,72,180,1
66,72,1037,1
67,72,795,1
68,78,335,1
69,78,670,1
70,78,577,1
71,79,1183,1
72,79,806,1
73,79,381,1
74,79,307,1
75,79,454,1
76,79,582,1
77,79,1182,1
78,79,714,1
79,79,1165,1
80,79,912,1
81,79,1148,1
82,79,1037,1
83,79,1171,1
84,80,501,1
85,80,870,1
86,80,106,1
87,80,403,1
88,80,1091,1
89,82,162,1
90,82,751,1
91,82,993,1
92,82,440,1
93,82,133,1
94,82,834,1
95,82,1150,1
96,82,1100,1
97,82,341,1
98,82,835,1
99,82,511,1
100,82,685,1
101,95,1111,1
102,95,325,1
103,95,1175,1
104,95,239,1
105,95,191,1
106,95,610,1
107,111,265,1
108,111,169,1
109,111,608,1
110,111,998,1
111,111,965,1
112,111,765,1
113,111,102,1
114,111,43,1
115,111,992,1
116,111,157,1
117,111,48,1
118,111,366,1
119,111,297,1
120,111,1083,1
121,111,975,1
122,111,237,1
123,111,198,1
124,111,679,1
125,111,244,1
126,111,1130,1
127,111,234,1
128,111,748,1
129,111,440,1
130,111,993,1
131,111,868,1
132,111,611,1
133,111,274,1
134,111,420,1
135,111,899,1
136,111,228,1
137,111,813,1
138,118,440,1
139,118,827,1
140,118,111,1
141,118,315,1
142,118,521,1
143,118,1004,1
144,118,265,1
145,118,418,1
146,118,732,1
147,118,237,1
148,118,790,1
149,118,316,1
150,118,993,1
151,118,48,1
152,118,1144,1
153,118,868,1
154,118,1095,1
155,118,576,1
156,118,133,1
157,118,54,1
158,118,57,1
159,118,1128,1
160,118,899,1
161,118,301,1
162,118,434,1
163,118,760,1
164,118,281,1
165,118,989,1
166,118,444,1
167,118,53,1
168,118,105,1
169,118,749,1
170,118,66,1
171,118,100,1
172,118,1047,1
173,118,102,1
174,118,1042,1
175,118,1130,1
176,118,477,1
177,118,234,1
178,118,424,1
179,118,350,1
180,125,515,1
181,141,231,1
182,141,456,1
183,141,221,1
184,141,550,1
185,141,597,1
186,141,444,1
187,141,1074,1
188,141,150,1
189,141,510,1
190,141,1098,1
191,141,907,1
192,141,434,1
193,141,540,1
194,143,847,1
195,143,231,1
196,143,1074,1
197,143,141,1
198,143,340,1
199,143,1098,1
200,143,651,1
201,143,550,1
202,143,1177,1
203,143,798,1
204,143,434,1
205,143,510,1
206,143,1154,1
207,143,295,1
208,143,221,1
209,143,779,1
210,143,120,1
211,151,110,1
212,151,394,1
213,151,449,1
214,151,786,1
215,151,582,1
216,151,233,1
217,155,926,1
218,155,367,1
219,161,298,1
220,161,480,1
221,162,1100,1
222,162,1092,1
223,162,685,1
224,163,1010,1
225,180,992,1
226,180,408,1
227,180,95,1
228,180,659,1
229,180,932,1
230,180,79,1
231,180,673,1
232,180,72,1
233,191,95,1
234,192,23,1
235,192,133,1
236,192,750,1
237,192,1070,1
238,202,267,1
239,202,677,1
240,205,609,1
241,206,444,1
242,206,1063,1
243,206,992,1
244,206,939,1
245,206,9,1
246,206,988,1
247,206,968,1
248,206,803,1
249,206,301,1
250,206,914,1
251,206,1000,1
252,206,660,1
253,206,466,1
254,206,43,1
255,206,53,1
256,206,145,1
257,206,583,1
258,206,198,1
259,206,732,1
260,215,806,1
261,215,849,1
262,215,971,1
263,215,78,1
264,215,1083,1
265,215,1172,1
266,215,233,1
267,215,332,1
268,215,1180,1
269,216,878,1
270,216,1100,1
