,TF,Target,Label
0,11,377,1
1,13,407,1
2,13,437,1
3,13,517,1
4,13,326,1
5,21,378,1
6,24,566,1
7,24,311,1
8,24,559,1
9,24,167,1
10,29,594,1
11,35,261,1
12,35,362,1
13,35,576,1
14,35,446,1
15,35,304,1
16,35,319,1
17,35,221,1
18,35,153,1
19,35,164,1
20,35,440,1
21,35,31,1
22,35,508,1
23,35,72,1
24,35,62,1
25,35,222,1
26,41,98,1
27,41,71,1
28,41,532,1
29,41,443,1
30,41,489,1
31,41,455,1
32,41,251,1
33,41,256,1
34,41,508,1
35,41,243,1
36,41,35,1
37,41,421,1
38,41,464,1
39,41,164,1
40,41,402,1
41,41,191,1
42,41,229,1
43,41,254,1
44,41,72,1
45,41,240,1
46,62,221,1
47,62,35,1
48,92,567,1
49,93,570,1
50,93,631,1
51,93,611,1
52,93,604,1
53,93,261,1
54,112,80,1
55,112,322,1
56,112,241,1
57,112,217,1
58,112,30,1
59,112,451,1
60,112,34,1
61,118,155,1
62,118,563,1
63,118,166,1
64,119,609,1
65,131,499,1
66,131,377,1
67,137,26,1
68,137,464,1
69,137,489,1
70,137,566,1
71,153,195,1
72,153,488,1
73,153,576,1
74,153,275,1
75,155,305,1
76,155,118,1
77,155,261,1
78,158,229,1
79,158,164,1
80,158,443,1
81,158,220,1
82,158,421,1
83,166,118,1
84,174,337,1
85,187,261,1
86,187,305,1
87,187,447,1
88,187,217,1
89,193,304,1
90,193,567,1
91,195,508,1
92,195,599,1
93,195,443,1
94,195,220,1
95,195,421,1
96,195,576,1
97,195,565,1
98,195,446,1
99,196,158,1
100,196,229,1
101,205,144,1
102,205,35,1
103,205,593,1
104,205,606,1
105,205,263,1
106,205,97,1
107,205,425,1
108,205,259,1
109,216,566,1
110,216,489,1
111,216,26,1
112,216,111,1
113,221,35,1
114,221,16,1
115,221,587,1
116,221,195,1
117,221,62,1
118,222,297,1
119,222,31,1
120,229,508,1
121,229,321,1
122,229,489,1
123,229,550,1
124,229,402,1
125,229,26,1
126,229,111,1
127,229,464,1
128,229,266,1
129,229,191,1
130,229,443,1
131,229,164,1
132,229,52,1
133,229,559,1
134,229,41,1
135,229,271,1
136,234,31,1
137,238,567,1
138,243,26,1
139,243,402,1
140,243,251,1
141,243,99,1
142,243,464,1
143,243,266,1
144,243,566,1
145,243,532,1
146,243,167,1
147,243,489,1
148,243,72,1
149,243,471,1
150,243,41,1
151,243,403,1
152,243,98,1
153,243,240,1
154,243,309,1
155,243,455,1
156,243,611,1
157,243,191,1
158,256,111,1
159,256,99,1
160,256,41,1
161,256,403,1
162,256,266,1
163,256,566,1
164,256,240,1
165,256,611,1
166,256,72,1
167,256,471,1
168,256,479,1
169,256,71,1
170,256,254,1
171,256,550,1
172,256,167,1
173,256,243,1
174,256,220,1
175,256,532,1
176,256,565,1
177,256,26,1
178,256,421,1
179,260,570,1
180,260,288,1
181,260,486,1
182,261,93,1
183,261,166,1
184,261,305,1
185,261,469,1
186,261,564,1
187,261,31,1
188,261,155,1
189,261,554,1
190,263,624,1
191,263,342,1
192,263,144,1
193,263,606,1
194,263,364,1
195,263,186,1
196,263,539,1
197,263,97,1
198,263,436,1
199,263,152,1
200,263,593,1
201,263,570,1
202,263,625,1
203,266,71,1
204,266,614,1
205,266,98,1
206,266,532,1
207,266,471,1
208,266,111,1
209,266,403,1
210,266,443,1
211,266,243,1
212,266,191,1
213,266,479,1
214,266,251,1
215,266,254,1
216,266,237,1
217,266,167,1
218,266,164,1
219,266,256,1
220,266,489,1
221,266,99,1
222,266,421,1
223,270,567,1
224,271,237,1
225,271,508,1
226,271,158,1
227,271,196,1
228,271,72,1
229,277,193,1
230,277,93,1
231,288,260,1
232,304,193,1
233,304,319,1
234,304,576,1
235,304,201,1
236,311,24,1
237,315,619,1
238,315,31,1
239,315,321,1
240,319,31,1
241,319,35,1
242,321,229,1
243,321,341,1
244,321,529,1
245,321,93,1
246,322,80,1
247,322,30,1
248,322,527,1
249,322,551,1
250,326,241,1
251,326,437,1
252,326,43,1
253,326,586,1
254,338,421,1
255,338,31,1
256,339,570,1
257,377,224,1
258,377,589,1
259,377,201,1
260,377,500,1
261,377,38,1
262,377,277,1
263,377,280,1
264,377,11,1
265,378,448,1
266,378,21,1
267,402,71,1
268,402,243,1
269,402,508,1
270,402,191,1
271,402,240,1
272,402,99,1
273,402,611,1
274,402,167,1
275,402,491,1
276,402,532,1
277,402,614,1
278,402,403,1
279,402,72,1
280,402,266,1
281,402,251,1
