,TF,Target,Label
0,8,371,1
1,97,590,1
2,97,147,1
3,97,470,1
4,107,435,1
5,109,340,1
6,109,442,1
7,122,583,1
8,122,649,1
9,148,560,1
10,148,655,1
11,148,150,1
12,150,148,1
13,193,372,1
14,193,246,1
15,208,583,1
16,208,649,1
17,229,499,1
18,229,189,1
19,229,332,1
20,229,550,1
21,229,463,1
22,229,368,1
23,229,519,1
24,291,331,1
25,330,463,1
26,331,435,1
27,331,691,1
28,368,499,1
29,368,580,1
30,368,229,1
31,368,400,1
32,368,332,1
33,368,519,1
34,368,340,1
35,384,477,1
36,384,148,1
37,384,691,1
38,384,331,1
39,389,589,1
40,400,499,1
41,400,368,1
42,400,463,1
43,400,229,1
44,400,133,1
45,400,332,1
46,400,340,1
47,406,208,1
48,435,655,1
49,435,632,1
50,435,107,1
51,435,331,1
52,436,25,1
53,436,560,1
54,442,109,1
55,494,194,1
56,494,691,1
57,506,40,1
58,560,651,1
59,560,674,1
60,560,203,1
61,560,436,1
62,560,617,1
63,560,115,1
64,560,569,1
65,560,407,1
66,560,297,1
67,560,41,1
68,583,649,1
69,583,208,1
70,649,40,1
71,649,208,1
72,649,583,1
73,649,122,1
74,655,97,1
75,655,134,1
76,655,691,1
77,655,580,1
78,687,375,1
79,690,607,1
80,690,436,1
81,691,331,1
82,691,580,1
83,691,147,1
84,691,235,1
85,8,655,0
86,97,404,0
87,97,233,0
88,97,374,0
89,107,365,0
90,109,231,0
91,109,245,0
92,122,94,0
93,122,647,0
94,148,262,0
95,148,23,0
96,148,298,0
97,150,461,0
98,193,616,0
99,193,617,0
100,208,154,0
101,208,367,0
102,229,314,0
103,229,320,0
104,229,158,0
105,229,307,0
106,229,357,0
107,229,568,0
108,229,1,0
109,291,684,0
110,330,0,0
111,331,501,0
112,331,199,0
113,368,568,0
114,368,426,0
115,368,183,0
116,368,655,0
117,368,316,0
118,368,60,0
119,368,239,0
120,384,90,0
121,384,345,0
122,384,420,0
123,384,272,0
124,389,77,0
125,400,585,0
126,400,510,0
127,400,563,0
128,400,467,0
129,400,266,0
130,400,11,0
131,400,542,0
132,406,543,0
133,435,501,0
134,435,22,0
135,435,507,0
136,435,258,0
137,436,616,0
138,436,414,0
139,442,573,0
140,494,60,0
141,494,364,0
142,506,421,0
143,560,554,0
144,560,345,0
145,560,393,0
146,560,531,0
147,560,562,0
148,560,107,0
149,560,69,0
150,560,670,0
151,560,68,0
152,560,118,0
153,583,171,0
154,583,195,0
155,649,559,0
156,649,511,0
157,649,406,0
158,649,99,0
159,655,376,0
160,655,379,0
161,655,536,0
162,655,518,0
163,687,528,0
164,690,547,0
165,690,258,0
166,691,23,0
167,691,620,0
168,691,199,0
169,691,75,0
