,TF,Target,Label
0,43,131,1
1,43,487,1
2,43,239,1
3,43,906,1
4,43,793,1
5,43,315,1
6,43,504,1
7,43,306,1
8,43,638,1
9,43,343,1
10,43,227,1
11,43,509,1
12,43,132,1
13,43,390,1
14,43,285,1
15,43,465,1
16,43,229,1
17,43,72,1
18,43,481,1
19,43,632,1
20,43,495,1
21,43,555,1
22,43,155,1
23,43,497,1
24,43,44,1
25,43,430,1
26,43,894,1
27,43,510,1
28,43,293,1
29,43,267,1
30,43,770,1
31,43,336,1
32,43,288,1
33,43,414,1
34,43,683,1
35,43,753,1
36,43,844,1
37,43,874,1
38,43,459,1
39,43,225,1
40,43,885,1
41,43,535,1
42,43,25,1
43,43,559,1
44,43,697,1
45,43,715,1
46,43,671,1
47,43,397,1
48,43,177,1
49,43,425,1
50,43,427,1
51,43,789,1
52,43,364,1
53,43,539,1
54,43,423,1
55,43,255,1
56,43,12,1
57,43,405,1
58,43,887,1
59,43,272,1
60,43,27,1
61,43,146,1
62,43,39,1
63,43,888,1
64,43,93,1
65,43,708,1
66,43,601,1
67,43,508,1
68,43,680,1
69,43,264,1
70,43,248,1
71,43,833,1
72,43,435,1
73,43,471,1
74,43,577,1
75,43,685,1
76,43,102,1
77,43,29,1
78,43,599,1
79,43,373,1
80,43,739,1
81,43,896,1
82,43,750,1
83,43,23,1
84,43,841,1
85,43,679,1
86,43,434,1
87,43,184,1
88,43,849,1
89,43,853,1
90,43,815,1
91,43,458,1
92,43,631,1
93,43,28,1
94,43,96,1
95,43,820,1
96,43,503,1
97,43,584,1
98,43,192,1
99,43,259,1
100,43,429,1
101,43,432,1
102,43,529,1
103,43,516,1
104,43,81,1
105,43,163,1
106,43,447,1
107,43,79,1
108,43,71,1
109,43,443,1
110,43,297,1
111,43,661,1
112,43,561,1
113,43,128,1
114,43,831,1
115,43,857,1
116,43,202,1
117,43,845,1
118,43,762,1
119,43,381,1
120,43,891,1
121,43,485,1
122,43,95,1
123,43,684,1
124,43,797,1
125,43,382,1
126,43,449,1
127,43,607,1
128,43,622,1
129,43,168,1
130,43,705,1
131,43,238,1
132,43,380,1
133,43,569,1
134,43,743,1
135,43,795,1
136,43,869,1
137,43,785,1
138,43,466,1
139,43,235,1
140,43,470,1
141,43,250,1
142,43,452,1
143,43,56,1
144,43,276,1
145,43,340,1
146,43,339,1
147,43,511,1
148,43,330,1
149,43,94,1
150,43,438,1
151,43,49,1
152,43,399,1
153,43,901,1
154,43,279,1
155,43,895,1
156,43,590,1
157,43,883,1
158,43,289,1
159,43,206,1
160,43,204,1
161,43,707,1
162,43,228,1
163,43,552,1
164,43,672,1
165,43,122,1
166,43,22,1
167,43,656,1
168,43,741,1
169,43,370,1
170,43,384,1
171,43,84,1
172,43,291,1
173,43,410,1
174,43,311,1
175,43,644,1
176,43,677,1
177,43,635,1
178,43,560,1
179,43,224,1
180,43,263,1
181,43,568,1
182,43,527,1
183,43,730,1
184,43,472,1
185,43,368,1
186,43,825,1
187,43,157,1
188,43,592,1
189,43,252,1
190,43,67,1
191,43,143,1
192,43,358,1
193,43,144,1
194,43,580,1
195,43,230,1
196,43,197,1
197,43,579,1
198,43,859,1
199,43,170,1
200,43,17,1
201,43,757,1
202,43,667,1
203,43,564,1
204,43,547,1
205,43,641,1
206,43,764,1
207,43,556,1
208,43,455,1
209,43,117,1
210,43,691,1
211,43,651,1
212,43,127,1
213,43,385,1
214,43,589,1
215,43,512,1
216,43,804,1
217,43,310,1
218,43,109,1
219,43,537,1
220,43,178,1
221,43,540,1
222,43,876,1
223,43,215,1
224,43,838,1
225,43,124,1
226,43,668,1
227,43,296,1
228,43,760,1
229,43,494,1
230,43,173,1
231,43,323,1
232,43,507,1
233,43,502,1
234,43,493,1
235,43,133,1
236,43,160,1
237,43,50,1
238,43,673,1
239,43,126,1
240,43,61,1
241,43,827,1
242,43,681,1
243,43,265,1
244,43,317,1
245,43,48,1
246,43,333,1
247,43,275,1
248,43,848,1
249,43,169,1
250,43,518,1
251,43,850,1
252,43,86,1
253,43,16,1
254,43,500,1
255,43,15,1
256,43,420,1
257,43,378,1
258,43,389,1
259,43,752,1
260,43,209,1
261,43,404,1
262,43,767,1
263,43,249,1
264,43,85,1
265,43,371,1
266,43,530,1
267,43,308,1
268,43,147,1
269,43,319,1
270,43,538,1
271,43,710,1
272,43,758,1
273,43,450,1
274,43,803,1
275,43,361,1
276,43,902,1
277,43,480,1
278,43,532,1
279,43,836,1
280,43,799,1
281,43,83,1
282,43,0,1
283,43,251,1
284,43,191,1
285,43,542,1
286,43,211,1
287,43,216,1
288,43,747,1
289,43,649,1
290,43,554,1
291,43,344,1
292,43,665,1
293,43,765,1
294,43,748,1
295,43,207,1
296,43,882,1
297,43,806,1
298,43,810,1
299,43,166,1
300,43,563,1
301,43,360,1
302,43,130,1
303,43,639,1
304,43,669,1
305,43,105,1
306,43,182,1
307,43,698,1
308,43,782,1
309,43,444,1
310,43,47,1
311,43,528,1
312,43,664,1
313,43,732,1
314,43,570,1
315,43,613,1
316,43,566,1
317,43,123,1
318,43,36,1
319,43,316,1
320,43,325,1
321,43,78,1
322,43,777,1
323,43,231,1
