,TF,Target,Label
0,10,471,1
1,10,193,1
2,10,350,1
3,10,735,1
4,10,16,1
5,10,166,1
6,10,135,1
7,10,867,1
8,10,731,1
9,10,707,1
10,10,241,1
11,10,486,1
12,10,927,1
13,10,256,1
14,10,521,1
15,10,642,1
16,10,938,1
17,10,843,1
18,10,127,1
19,10,282,1
20,10,846,1
21,10,529,1
22,10,105,1
23,10,47,1
24,10,160,1
25,10,86,1
26,10,694,1
27,10,449,1
28,10,678,1
29,10,810,1
30,10,866,1
31,10,141,1
32,10,165,1
33,10,402,1
34,10,246,1
35,10,608,1
36,10,268,1
37,10,934,1
38,10,897,1
39,10,387,1
40,10,163,1
41,10,860,1
42,10,430,1
43,10,929,1
44,10,276,1
45,10,622,1
46,10,470,1
47,10,674,1
48,10,138,1
49,10,388,1
50,10,613,1
51,10,919,1
52,10,570,1
53,10,401,1
54,10,887,1
55,10,220,1
56,10,485,1
57,10,819,1
58,10,309,1
59,10,799,1
60,10,229,1
61,10,451,1
62,10,807,1
63,10,517,1
64,10,848,1
65,10,218,1
66,10,69,1
67,10,574,1
68,10,352,1
69,10,264,1
70,10,45,1
71,10,544,1
72,10,424,1
73,10,379,1
74,10,923,1
75,10,827,1
76,10,155,1
77,10,318,1
78,10,341,1
79,10,825,1
80,10,578,1
81,10,629,1
82,10,879,1
83,10,285,1
84,10,151,1
85,10,725,1
86,10,455,1
87,10,567,1
88,10,322,1
89,10,684,1
90,10,96,1
91,10,384,1
92,10,444,1
93,10,894,1
94,10,683,1
95,10,375,1
96,10,349,1
97,10,802,1
98,10,66,1
99,10,389,1
100,10,331,1
101,10,554,1
102,10,392,1
103,10,720,1
104,10,798,1
105,10,189,1
106,10,495,1
107,10,870,1
108,10,450,1
109,10,287,1
110,10,508,1
111,10,150,1
112,10,688,1
113,10,104,1
114,10,37,1
115,10,293,1
116,10,146,1
117,10,890,1
118,10,768,1
119,10,209,1
120,10,759,1
121,10,437,1
122,10,80,1
123,10,530,1
124,10,281,1
125,10,726,1
126,10,587,1
127,10,569,1
128,10,831,1
129,10,600,1
130,10,599,1
131,10,612,1
132,10,73,1
133,10,513,1
134,10,259,1
135,10,409,1
136,10,324,1
137,10,579,1
138,10,932,1
139,10,192,1
140,10,711,1
141,10,61,1
142,10,122,1
143,10,420,1
144,10,482,1
145,10,235,1
146,10,376,1
147,10,0,1
148,10,64,1
149,10,656,1
150,10,594,1
151,10,659,1
152,10,693,1
153,10,403,1
154,10,123,1
155,10,224,1
156,10,518,1
157,10,427,1
158,10,115,1
159,10,898,1
160,10,92,1
161,10,173,1
162,10,284,1
163,10,412,1
164,10,130,1
165,10,72,1
166,10,361,1
167,10,131,1
168,10,652,1
169,10,808,1
170,10,110,1
171,10,557,1
172,10,873,1
173,10,572,1
174,10,638,1
175,10,715,1
176,10,811,1
177,10,940,1
178,10,596,1
179,10,56,1
180,10,885,1
181,10,740,1
182,10,852,1
183,10,23,1
184,10,366,1
185,10,448,1
186,10,479,1
187,10,6,1
188,10,797,1
189,10,418,1
190,10,840,1
191,10,776,1
192,10,783,1
193,10,560,1
194,10,75,1
195,10,213,1
196,10,769,1
197,10,561,1
198,10,126,1
199,10,538,1
200,10,764,1
201,10,467,1
202,10,148,1
203,10,15,1
204,10,169,1
205,10,483,1
206,10,329,1
207,10,204,1
208,10,936,1
209,10,236,1
210,10,116,1
211,10,941,1
212,10,732,1
213,10,880,1
214,10,665,1
215,10,733,1
216,10,311,1
217,10,641,1
218,10,187,1
219,10,191,1
220,10,835,1
221,10,274,1
222,10,904,1
223,10,939,1
224,10,255,1
225,10,348,1
226,10,267,1
227,10,63,1
228,10,386,1
229,10,368,1
230,10,233,1
231,10,692,1
232,10,861,1
233,10,828,1
234,10,610,1
235,10,829,1
236,10,196,1
237,10,129,1
238,10,822,1
239,10,765,1
240,10,393,1
241,10,930,1
242,10,614,1
243,10,391,1
244,10,914,1
245,10,190,1
246,10,404,1
247,10,240,1
248,10,48,1
249,10,408,1
250,10,771,1
251,10,862,1
252,10,279,1
253,10,252,1
254,10,793,1
255,10,618,1
256,10,419,1
257,10,316,1
258,10,670,1
259,10,918,1
260,10,637,1
261,10,32,1
262,10,26,1
263,10,666,1
264,10,706,1
265,10,571,1
266,10,17,1
267,10,658,1
268,10,158,1
269,10,170,1
270,10,813,1
271,10,655,1
272,10,21,1
273,10,730,1
274,10,355,1
275,10,671,1
276,10,178,1
277,10,251,1
278,10,893,1
279,10,753,1
280,10,50,1
281,10,4,1
282,10,895,1
283,10,466,1
284,10,539,1
285,10,757,1
286,10,595,1
287,10,239,1
288,10,7,1
289,10,312,1
290,10,200,1
291,10,283,1
292,10,20,1
293,10,577,1
294,10,186,1
295,10,227,1
296,10,426,1
297,10,546,1
298,10,527,1
299,10,592,1
300,10,124,1
301,10,441,1
302,10,480,1
303,10,286,1
304,10,944,1
305,10,327,1
306,10,907,1
307,10,89,1
308,10,326,1
309,10,510,1
310,10,563,1
311,10,763,1
312,10,290,1
313,10,857,1
314,10,134,1
315,10,499,1
316,10,542,1
317,10,714,1
318,10,856,1
319,10,367,1
320,10,145,1
321,10,144,1
322,10,487,1
323,10,423,1
324,10,673,1
325,10,777,1
326,10,207,1
327,10,878,1
328,10,601,1
329,10,462,1
330,10,222,1
331,10,164,1
332,10,226,1
333,10,859,1
334,10,772,1
335,10,221,1
336,10,773,1
337,10,812,1
338,10,774,1
339,10,766,1
340,10,216,1
341,10,899,1
342,10,195,1
343,10,863,1
344,10,644,1
345,10,532,1
346,10,300,1
347,10,113,1
348,10,71,1
349,10,727,1
350,10,438,1
351,10,621,1
352,10,356,1
353,10,369,1
354,10,11,1
355,10,421,1
356,10,297,1
357,10,363,1
358,10,920,1
359,10,804,1
360,10,142,1
361,10,243,1
362,10,628,1
363,10,52,1
364,10,120,1
365,10,41,1
366,10,199,1
367,10,717,1
368,10,534,1
369,10,792,1
370,10,903,1
371,10,478,1
372,10,617,1
373,10,180,1
374,10,394,1
375,10,775,1
376,10,174,1
377,10,29,1
378,10,925,1
379,10,139,1
380,10,647,1
381,10,718,1
382,10,729,1
383,10,850,1
384,10,261,1
385,10,68,1
386,10,328,1
387,10,603,1
388,10,854,1
389,10,916,1
390,10,581,1
391,10,90,1
392,10,787,1
393,10,845,1
394,10,175,1
395,10,435,1
396,10,682,1
397,10,933,1
398,10,723,1
399,10,801,1
400,10,883,1
401,10,632,1
402,10,790,1
403,10,266,1
404,10,625,1
405,10,701,1
406,10,593,1
407,10,507,1
408,10,275,1
409,10,308,1
410,10,937,1
411,10,177,1
412,10,728,1
413,10,465,1
414,10,468,1
415,10,519,1
416,10,78,1
417,10,436,1
418,10,112,1
419,10,537,1
420,10,818,1
421,10,851,1
422,10,81,1
423,10,100,1
424,10,606,1
425,10,488,1
426,10,46,1
427,10,107,1
428,10,156,1
429,10,335,1
430,10,269,1
431,10,524,1
432,10,667,1
433,10,272,1
434,10,746,1
435,10,119,1
436,10,425,1
437,10,631,1
438,10,35,1
439,10,568,1
440,10,796,1
441,10,865,1
442,10,277,1
443,10,558,1
444,10,742,1
445,10,415,1
446,10,249,1
447,10,942,1
448,10,223,1
449,10,824,1
450,10,374,1
451,10,260,1
452,10,263,1
453,10,140,1
454,10,3,1
455,10,643,1
456,10,697,1
457,10,760,1
458,10,457,1
459,10,784,1
460,10,935,1
461,10,555,1
462,10,338,1
463,10,648,1
464,10,399,1
465,10,646,1
466,10,699,1
467,10,689,1
468,10,108,1
469,10,651,1
470,10,205,1
471,10,509,1
472,10,194,1
473,10,924,1
474,10,206,1
475,10,406,1
476,10,839,1
477,10,22,1
478,10,77,1
479,10,445,1
480,10,314,1
481,10,291,1
482,10,737,1
483,10,611,1
484,10,307,1
485,10,157,1
486,10,477,1
487,10,881,1
488,10,385,1
489,10,440,1
490,10,700,1
491,10,382,1
492,10,891,1
493,10,750,1
494,10,103,1
495,10,168,1
496,10,431,1
497,10,716,1
498,10,780,1
499,10,34,1
500,10,512,1
501,10,548,1
502,10,289,1
503,10,888,1
504,10,212,1
505,10,211,1
506,10,294,1
507,10,337,1
508,10,912,1
509,10,662,1
510,10,889,1
511,10,494,1
512,10,234,1
513,10,540,1
514,10,443,1
515,10,820,1
516,10,926,1
517,10,185,1
518,10,623,1
519,10,102,1
520,10,8,1
521,10,182,1
522,10,362,1
523,10,432,1
524,10,416,1
525,10,137,1
526,10,333,1
527,10,853,1
528,10,868,1
529,10,669,1
530,10,675,1
531,10,910,1
532,10,679,1
533,12,438,1
534,12,667,1
535,12,313,1
536,12,876,1
537,12,293,1
538,12,81,1
539,12,697,1
540,12,892,1
541,12,199,1
542,12,930,1
543,12,392,1
544,12,462,1
545,12,625,1
546,12,567,1
547,12,619,1
548,12,21,1
549,12,409,1
550,12,894,1
551,12,656,1
552,12,461,1
553,12,651,1
554,12,306,1
555,12,640,1
556,12,558,1
557,12,899,1
558,12,92,1
559,12,592,1
560,12,510,1
561,12,614,1
562,12,155,1
563,12,418,1
564,12,819,1
565,12,29,1
566,12,477,1
567,12,150,1
568,12,76,1
569,12,419,1
570,12,795,1
571,12,366,1
572,12,46,1
573,12,629,1
574,12,674,1
575,12,503,1
576,12,187,1
577,12,584,1
578,12,911,1
579,12,728,1
580,12,512,1
581,12,327,1
582,12,485,1
583,12,647,1
584,12,604,1
585,12,207,1
586,12,912,1
587,12,87,1
588,12,790,1
589,12,784,1
590,12,483,1
591,12,508,1
592,12,823,1
593,12,655,1
594,12,725,1
595,12,517,1
596,12,472,1
597,12,869,1
598,12,551,1
599,12,266,1
600,12,690,1
601,12,220,1
602,12,408,1
603,12,168,1
604,12,699,1
605,12,28,1
606,12,792,1
607,12,310,1
608,12,684,1
609,12,812,1
610,12,200,1
611,12,804,1
612,12,137,1
613,12,520,1
614,12,355,1
615,12,476,1
616,12,903,1
617,12,330,1
618,12,868,1
619,12,555,1
620,12,222,1
621,12,511,1
622,12,122,1
623,12,924,1
624,12,788,1
625,12,509,1
626,12,738,1
627,12,238,1
628,12,286,1
629,12,585,1
630,12,192,1
631,12,666,1
632,12,896,1
