,TF,Target,Label
0,0,595,1
1,0,916,1
2,0,657,1
3,0,98,1
4,0,712,1
5,0,839,1
6,0,1119,1
7,0,1277,1
8,0,1251,1
9,0,1164,1
10,0,280,1
11,0,568,1
12,0,1049,1
13,0,20,1
14,0,9,1
15,0,1115,1
16,0,1236,1
17,0,22,1
18,0,1128,1
19,0,559,1
20,0,853,1
21,0,758,1
22,0,978,1
23,0,1243,1
24,0,697,1
25,0,565,1
26,0,164,1
27,0,1296,1
28,0,126,1
29,0,873,1
30,0,910,1
31,0,1301,1
32,0,615,1
33,0,455,1
34,0,154,1
35,0,1312,1
36,0,427,1
37,0,464,1
38,0,1305,1
39,0,1071,1
40,0,1152,1
41,0,286,1
42,0,484,1
43,0,904,1
44,0,1124,1
45,0,182,1
46,0,239,1
47,0,823,1
48,0,389,1
49,0,419,1
50,0,483,1
51,0,1019,1
52,0,478,1
53,0,518,1
54,0,1259,1
55,0,1194,1
56,0,1093,1
57,0,1141,1
58,0,123,1
59,0,567,1
60,0,191,1
61,0,878,1
62,0,1246,1
63,0,1106,1
64,0,678,1
65,0,50,1
66,0,125,1
67,0,1283,1
68,0,812,1
69,0,264,1
70,0,337,1
71,0,795,1
72,0,542,1
73,0,1203,1
74,0,526,1
75,0,224,1
76,0,133,1
77,0,1249,1
78,0,659,1
79,0,216,1
80,0,406,1
81,0,1096,1
82,0,972,1
83,0,444,1
84,0,43,1
85,0,836,1
86,0,747,1
87,0,138,1
88,0,302,1
89,0,505,1
90,0,146,1
91,0,71,1
92,0,854,1
93,0,837,1
94,0,990,1
95,0,278,1
96,0,784,1
97,0,545,1
98,0,1111,1
99,0,687,1
100,0,408,1
101,0,1112,1
102,0,945,1
103,0,927,1
104,0,250,1
105,0,499,1
106,165,1248,1
107,165,1043,1
108,213,892,1
109,213,847,1
110,213,996,1
111,278,831,1
112,278,147,1
113,278,57,1
114,278,687,1
115,278,870,1
116,278,1005,1
117,278,199,1
118,278,1222,1
119,278,74,1
120,278,761,1
121,278,235,1
122,278,106,1
123,278,190,1
124,278,933,1
125,278,0,1
126,278,668,1
127,278,112,1
128,278,1283,1
129,278,369,1
130,278,925,1
131,278,141,1
132,278,263,1
133,278,567,1
134,278,1104,1
135,278,691,1
136,278,1299,1
137,278,1243,1
138,278,854,1
139,278,953,1
140,278,1236,1
141,278,185,1
142,278,85,1
143,278,919,1
144,278,1116,1
145,278,942,1
146,278,1051,1
147,278,505,1
148,278,446,1
149,278,208,1
150,278,362,1
151,278,113,1
152,278,1098,1
153,278,154,1
154,278,1125,1
155,278,1284,1
156,278,161,1
157,278,7,1
158,278,960,1
159,278,1298,1
160,278,368,1
161,278,264,1
162,278,1249,1
163,278,189,1
164,278,978,1
165,278,340,1
166,278,1082,1
167,278,58,1
168,278,904,1
169,278,1136,1
170,278,1014,1
171,278,1203,1
172,278,538,1
173,278,646,1
174,278,622,1
175,278,196,1
176,278,126,1
177,278,399,1
178,278,1110,1
179,278,895,1
180,278,1153,1
181,278,956,1
182,278,444,1
183,278,408,1
184,278,140,1
185,278,727,1
186,278,618,1
187,278,1021,1
188,278,268,1
189,278,1089,1
190,278,599,1
191,278,516,1
192,332,254,1
193,332,1285,1
194,332,100,1
195,332,1135,1
196,332,873,1
197,332,196,1
198,332,788,1
199,332,564,1
200,332,188,1
201,332,123,1
202,332,1279,1
203,332,857,1
204,332,1152,1
205,332,508,1
206,332,126,1
207,332,398,1
208,332,593,1
209,332,1282,1
210,332,1020,1
211,332,1136,1
212,332,737,1
213,332,931,1
214,332,1206,1
215,332,533,1
216,332,1189,1
217,332,672,1
218,332,461,1
219,332,455,1
220,332,341,1
221,332,190,1
222,332,1242,1
223,332,261,1
224,332,183,1
225,332,780,1
226,332,213,1
227,332,43,1
228,332,498,1
229,332,1307,1
230,332,937,1
231,332,709,1
232,332,795,1
233,332,359,1
234,332,662,1
235,332,766,1
236,332,847,1
237,332,268,1
238,332,151,1
239,332,603,1
240,332,1249,1
241,332,422,1
242,332,1088,1
243,332,719,1
244,332,1096,1
245,332,599,1
246,332,850,1
247,332,373,1
248,332,483,1
249,332,730,1
250,332,1033,1
251,332,844,1
252,332,1122,1
253,332,452,1
254,332,549,1
255,332,691,1
256,332,761,1
257,332,1117,1
258,332,480,1
259,332,1015,1
260,332,760,1
261,332,262,1
262,332,15,1
263,332,9,1
264,332,1294,1
265,332,843,1
266,332,1212,1
267,332,904,1
268,332,505,1
269,332,894,1
270,332,182,1
271,332,1074,1
272,332,1108,1
273,332,972,1
274,332,928,1
275,332,1054,1
276,332,1043,1
277,332,812,1
278,332,1216,1
279,332,684,1
280,332,1082,1
281,332,621,1
282,332,337,1
283,332,246,1
284,332,484,1
285,332,869,1
286,332,890,1
287,332,1036,1
288,332,973,1
289,332,838,1
290,332,2,1
291,332,67,1
292,332,479,1
293,332,1127,1
294,332,0,1
295,332,1103,1
296,332,1170,1
297,332,1110,1
298,332,535,1
299,332,714,1
300,332,898,1
301,332,945,1
302,332,999,1
303,332,27,1
304,332,417,1
305,332,444,1
306,332,579,1
307,332,1062,1
308,332,1111,1
309,332,829,1
310,332,808,1
311,332,1010,1
312,332,971,1
313,332,1222,1
314,332,1017,1
315,332,227,1
316,332,1030,1
317,332,127,1
318,332,1239,1
319,332,681,1
320,332,369,1
321,332,282,1
322,332,1163,1
323,332,636,1
324,332,926,1
325,332,253,1
326,332,208,1
327,332,768,1
328,332,767,1
329,332,1014,1
330,332,1225,1
331,332,702,1
332,332,155,1
333,332,846,1
334,332,1056,1
335,332,62,1
336,332,181,1
337,332,509,1
338,332,276,1
339,332,283,1
340,332,1115,1
341,332,66,1
342,332,580,1
343,332,164,1
344,332,553,1
345,332,862,1
346,469,565,1
347,469,641,1
348,469,895,1
349,469,1003,1
350,469,564,1
351,469,581,1
352,469,99,1
353,469,1234,1
354,469,1015,1
355,469,1264,1
356,469,633,1
357,469,1089,1
358,469,314,1
359,469,834,1
360,469,755,1
361,469,711,1
362,469,1205,1
363,469,980,1
364,469,463,1
