,TF,Target,Label
0,46,726,1
1,46,1117,1
2,46,1110,1
3,46,1097,1
4,46,90,1
5,46,587,1
6,46,575,1
7,46,81,1
8,46,1118,1
9,46,1062,1
10,46,1052,1
11,46,340,1
12,46,432,1
13,46,45,1
14,46,804,1
15,46,187,1
16,46,540,1
17,46,982,1
18,46,883,1
19,46,163,1
20,46,289,1
21,46,28,1
22,46,618,1
23,46,295,1
24,46,318,1
25,46,199,1
26,46,433,1
27,46,878,1
28,46,69,1
29,46,926,1
30,46,507,1
31,46,562,1
32,46,663,1
33,46,867,1
34,46,418,1
35,46,573,1
36,46,280,1
37,46,165,1
38,46,440,1
39,46,622,1
40,46,723,1
41,46,77,1
42,46,990,1
43,46,658,1
44,46,1029,1
45,46,147,1
46,46,750,1
47,46,249,1
48,46,947,1
49,46,236,1
50,46,814,1
51,46,706,1
52,46,724,1
53,46,751,1
54,46,536,1
55,46,729,1
56,46,1094,1
57,46,979,1
58,46,752,1
59,46,711,1
60,46,571,1
61,46,685,1
62,46,597,1
63,46,1101,1
64,46,1058,1
65,46,484,1
66,46,516,1
67,46,758,1
68,46,719,1
69,46,127,1
70,46,886,1
71,46,1044,1
72,46,247,1
73,46,509,1
74,46,797,1
75,46,673,1
76,46,478,1
77,46,121,1
78,46,559,1
79,46,978,1
80,46,76,1
81,46,765,1
82,46,1032,1
83,46,423,1
84,46,1108,1
85,46,976,1
86,51,699,1
87,51,634,1
88,51,96,1
89,51,163,1
90,51,378,1
91,51,38,1
92,51,438,1
93,51,981,1
94,51,347,1
95,51,591,1
96,51,580,1
97,51,387,1
98,51,657,1
99,51,616,1
100,51,662,1
101,51,714,1
102,51,575,1
103,51,612,1
104,51,25,1
105,51,945,1
106,51,47,1
107,51,287,1
108,51,236,1
109,51,1010,1
110,51,1085,1
111,51,933,1
112,51,518,1
113,51,282,1
114,51,982,1
115,51,652,1
116,51,720,1
117,51,273,1
118,51,592,1
119,51,647,1
120,51,126,1
121,51,948,1
122,51,566,1
123,51,806,1
124,51,666,1
125,51,271,1
126,51,13,1
127,51,461,1
128,51,857,1
129,51,552,1
130,51,151,1
131,51,968,1
132,51,553,1
133,51,731,1
134,51,534,1
135,51,690,1
136,51,1073,1
137,51,78,1
138,51,875,1
139,51,460,1
140,51,930,1
141,51,429,1
142,51,408,1
143,51,1004,1
144,51,496,1
145,51,679,1
146,51,671,1
147,51,980,1
148,51,1108,1
149,51,499,1
150,51,713,1
151,51,866,1
152,51,841,1
153,51,69,1
154,51,145,1
155,51,733,1
156,51,732,1
157,51,488,1
158,51,95,1
159,51,1101,1
160,51,222,1
161,51,60,1
162,51,336,1
163,51,880,1
164,51,996,1
165,51,383,1
166,51,961,1
167,51,441,1
168,51,1050,1
169,51,493,1
170,51,1033,1
171,51,936,1
172,51,702,1
173,51,213,1
174,51,1063,1
175,51,23,1
176,51,594,1
177,51,547,1
178,51,405,1
179,51,797,1
180,51,673,1
181,51,130,1
182,51,695,1
183,51,952,1
184,51,836,1
185,51,757,1
186,51,883,1
187,51,453,1
188,51,411,1
189,51,1082,1
190,51,754,1
191,51,250,1
192,51,192,1
193,51,123,1
194,51,152,1
195,51,503,1
196,51,333,1
197,51,915,1
198,51,306,1
199,51,318,1
200,51,1046,1
201,51,829,1
202,51,157,1
203,51,934,1
204,51,176,1
205,51,1094,1
206,51,142,1
207,51,1076,1
208,51,762,1
209,51,26,1
210,51,1087,1
211,51,517,1
212,51,625,1
213,51,703,1
214,51,187,1
215,51,959,1
216,51,480,1
217,51,334,1
218,51,697,1
219,51,57,1
220,51,81,1
221,51,557,1
222,51,397,1
223,51,193,1
224,51,1092,1
225,51,531,1
226,51,9,1
227,51,153,1
228,51,588,1
229,51,568,1
230,51,294,1
231,51,810,1
232,51,104,1
233,51,483,1
234,51,1015,1
235,51,621,1
236,51,1102,1
237,51,941,1
238,51,24,1
239,51,158,1
240,51,385,1
241,51,1037,1
242,51,932,1
243,51,677,1
244,51,559,1
245,51,298,1
246,51,550,1
247,51,268,1
248,51,90,1
249,51,682,1
250,51,1067,1
251,51,944,1
252,51,178,1
253,51,305,1
254,51,269,1
255,51,549,1
256,51,637,1
257,51,849,1
258,51,615,1
259,51,253,1
260,51,799,1
261,51,511,1
262,51,736,1
263,51,1051,1
264,51,97,1
265,51,418,1
266,51,820,1
267,51,448,1
268,51,1064,1
269,51,548,1
270,51,578,1
271,51,758,1
272,51,119,1
273,51,792,1
274,51,795,1
275,51,1089,1
276,51,352,1
277,51,738,1
278,51,653,1
279,51,215,1
280,51,99,1
281,51,189,1
282,51,763,1
283,51,775,1
284,51,181,1
285,51,590,1
286,51,694,1
287,51,462,1
288,51,785,1
289,51,149,1
290,51,752,1
291,51,896,1
292,51,1016,1
293,51,997,1
294,51,162,1
295,51,161,1
296,51,471,1
297,51,565,1
298,51,951,1
299,51,175,1
300,51,858,1
301,51,263,1
302,51,437,1
303,51,976,1
304,51,1054,1
305,51,766,1
306,51,88,1
307,51,925,1
308,51,893,1
309,51,721,1
310,51,27,1
311,51,1030,1
312,51,55,1
313,51,372,1
314,51,956,1
315,51,926,1
316,51,417,1
317,51,500,1
318,51,479,1
319,51,755,1
320,51,472,1
321,51,502,1
322,51,979,1
323,51,543,1
324,51,539,1
325,51,191,1
326,51,292,1
327,51,19,1
328,51,275,1
329,51,77,1
330,51,818,1
331,51,688,1
332,51,515,1
333,51,117,1
334,51,886,1
335,51,1119,1
336,51,544,1
337,51,1014,1
338,51,322,1
339,51,366,1
340,51,639,1
341,51,272,1
342,51,223,1
343,51,260,1
344,51,226,1
345,51,377,1
346,51,485,1
347,51,1013,1
348,51,852,1
349,51,356,1
350,51,110,1
351,51,208,1
352,51,1105,1
353,51,564,1
354,51,994,1
355,51,645,1
356,51,154,1
357,51,751,1
358,51,773,1
359,51,134,1
360,51,276,1
361,51,398,1
362,51,235,1
363,51,969,1
364,51,581,1
365,51,1070,1
366,51,877,1
367,51,94,1
368,51,445,1
369,51,125,1
370,51,1038,1
371,51,1039,1
372,51,753,1
373,51,868,1
374,51,867,1
375,51,884,1
376,51,402,1
377,51,35,1
378,51,302,1
379,51,451,1
380,51,307,1
381,51,31,1
382,51,631,1
383,51,127,1
384,51,410,1
385,51,11,1
386,51,246,1
387,51,232,1
388,51,132,1
389,51,375,1
390,51,1077,1
391,51,285,1
392,51,669,1
393,51,554,1
394,51,186,1
395,51,974,1
396,51,467,1
397,51,386,1
398,51,28,1
399,51,419,1
400,51,439,1
401,51,513,1
402,51,520,1
403,51,446,1
404,51,832,1
405,51,421,1
406,51,309,1
407,51,675,1
408,51,1024,1
409,51,963,1
