,TF,Target,Label
0,2,226,1
1,2,765,1
2,2,938,1
3,2,942,1
4,2,1051,1
5,2,1181,1
6,2,824,1
7,2,304,1
8,2,319,1
9,2,603,1
10,2,707,1
11,2,645,1
12,2,1196,1
13,2,447,1
14,2,759,1
15,2,996,1
16,2,781,1
17,2,875,1
18,2,954,1
19,2,819,1
20,2,1010,1
21,2,894,1
22,2,789,1
23,2,879,1
24,2,1165,1
25,2,152,1
26,2,760,1
27,2,36,1
28,2,1001,1
29,2,498,1
30,2,893,1
31,2,512,1
32,2,58,1
33,2,43,1
34,2,301,1
35,2,900,1
36,2,433,1
37,2,142,1
38,2,786,1
39,2,1126,1
40,2,741,1
41,2,948,1
42,2,973,1
43,2,665,1
44,2,675,1
45,2,87,1
46,2,238,1
47,2,143,1
48,2,123,1
49,2,445,1
50,2,810,1
51,2,1123,1
52,2,836,1
53,2,13,1
54,2,527,1
55,2,107,1
56,2,625,1
57,2,785,1
58,2,95,1
59,2,761,1
60,2,1163,1
61,2,777,1
62,2,409,1
63,2,911,1
64,2,721,1
65,2,204,1
66,2,177,1
67,2,919,1
68,2,764,1
69,2,127,1
70,2,971,1
71,2,953,1
72,2,227,1
73,2,167,1
74,2,991,1
75,2,115,1
76,2,403,1
77,2,1093,1
78,2,454,1
79,2,41,1
80,2,504,1
81,2,755,1
82,2,912,1
83,2,360,1
84,2,67,1
85,2,289,1
86,2,800,1
87,2,743,1
88,2,1197,1
89,2,1015,1
90,2,669,1
91,2,580,1
92,2,516,1
93,2,1,1
94,2,151,1
95,2,950,1
96,2,377,1
97,2,410,1
98,2,320,1
99,2,1109,1
100,2,1045,1
101,2,678,1
102,2,1201,1
103,2,228,1
104,2,880,1
105,2,858,1
106,2,431,1
107,2,730,1
108,2,586,1
109,2,1178,1
110,2,723,1
111,2,182,1
112,2,101,1
113,2,230,1
114,2,303,1
115,2,1120,1
116,2,958,1
117,2,850,1
118,2,1142,1
119,2,750,1
120,2,499,1
121,2,1101,1
122,2,239,1
123,2,623,1
124,2,405,1
125,2,275,1
126,2,384,1
127,2,576,1
128,2,905,1
129,2,186,1
130,2,404,1
131,2,191,1
132,2,807,1
133,2,252,1
134,2,564,1
135,2,141,1
136,2,545,1
137,2,34,1
138,2,945,1
139,2,639,1
140,2,561,1
141,2,353,1
142,2,792,1
143,2,482,1
144,2,240,1
145,2,109,1
146,2,412,1
147,2,212,1
148,2,530,1
149,2,670,1
150,2,347,1
151,2,637,1
152,2,480,1
153,2,757,1
154,2,1072,1
155,2,551,1
156,2,242,1
157,2,158,1
158,2,1136,1
159,2,264,1
160,2,705,1
161,2,840,1
162,2,766,1
163,2,684,1
164,2,955,1
165,2,59,1
166,2,960,1
167,2,941,1
168,2,425,1
169,2,1130,1
170,2,808,1
171,2,614,1
172,2,492,1
173,2,90,1
174,2,248,1
175,2,99,1
176,2,925,1
177,2,1032,1
178,2,572,1
179,2,644,1
180,2,601,1
181,2,501,1
182,2,599,1
183,2,860,1
184,2,507,1
185,2,944,1
186,2,1041,1
187,2,235,1
188,2,687,1
189,2,817,1
190,2,534,1
191,2,471,1
192,2,679,1
193,2,1125,1
194,2,885,1
195,2,1167,1
196,2,1097,1
197,2,844,1
198,2,105,1
199,2,1039,1
200,2,1092,1
201,2,848,1
202,2,745,1
203,2,135,1
204,2,739,1
205,2,333,1
206,2,157,1
207,2,557,1
208,2,560,1
209,2,1057,1
210,2,963,1
211,2,70,1
212,2,837,1
213,2,25,1
214,2,811,1
215,2,179,1
216,2,125,1
217,2,1014,1
218,2,691,1
219,2,1013,1
220,2,9,1
221,2,555,1
222,2,961,1
223,2,946,1
224,2,160,1
225,2,149,1
226,2,199,1
227,2,1071,1
228,2,769,1
229,2,399,1
230,2,1104,1
231,2,1076,1
232,2,657,1
233,2,829,1
234,2,97,1
235,2,5,1
236,2,863,1
237,2,1110,1
238,2,502,1
239,2,1131,1
240,2,98,1
241,2,173,1
242,2,984,1
243,2,682,1
244,2,187,1
245,2,232,1
246,2,540,1
247,2,112,1
248,2,916,1
249,2,776,1
250,2,924,1
251,2,814,1
252,2,313,1
253,2,16,1
254,2,120,1
255,2,367,1
256,2,19,1
257,2,869,1
258,2,165,1
259,2,706,1
260,2,241,1
261,2,1116,1
262,2,928,1
263,2,983,1
264,2,1150,1
265,2,827,1
266,2,823,1
267,2,189,1
268,2,441,1
269,2,279,1
270,2,222,1
271,2,796,1
272,2,21,1
273,2,295,1
274,2,111,1
275,2,1138,1
276,2,47,1
277,2,375,1
278,2,791,1
279,2,3,1
280,2,113,1
281,2,233,1
282,2,462,1
283,2,328,1
284,2,917,1
285,2,556,1
286,2,150,1
287,2,52,1
288,2,88,1
289,2,1202,1
290,2,736,1
291,2,376,1
292,2,868,1
293,2,183,1
294,2,607,1
295,2,826,1
296,2,282,1
297,2,884,1
298,2,461,1
299,2,528,1
300,2,853,1
301,2,1115,1
302,2,650,1
303,2,937,1
304,2,883,1
305,2,17,1
306,2,981,1
307,2,735,1
308,2,710,1
309,2,642,1
310,2,197,1
311,2,697,1
312,2,396,1
313,2,1176,1
314,2,361,1
315,2,716,1
316,2,1169,1
317,2,667,1
318,2,416,1
319,2,31,1
320,2,805,1
321,2,78,1
322,2,583,1
323,2,590,1
324,2,680,1
325,2,815,1
326,2,387,1
327,2,788,1
328,2,463,1
329,2,1173,1
330,2,672,1
331,2,460,1
332,2,683,1
333,2,1111,1
334,2,662,1
335,2,828,1
336,2,355,1
337,2,520,1
338,2,595,1
339,2,329,1
340,2,94,1
341,2,258,1
342,2,369,1
343,2,434,1
344,2,466,1
345,2,975,1
346,2,300,1
347,2,685,1
348,2,535,1
349,2,506,1
350,2,719,1
351,2,847,1
352,2,0,1
353,2,673,1
354,2,184,1
355,2,1019,1
356,2,878,1
357,2,7,1
358,2,53,1
359,2,314,1
360,2,402,1
361,2,587,1
362,2,1064,1
363,2,29,1
364,2,368,1
365,2,365,1
366,2,287,1
367,2,297,1
368,2,351,1
369,2,524,1
370,2,464,1
371,2,1023,1
372,2,1088,1
373,2,1046,1
374,2,593,1
375,2,602,1
376,2,874,1
377,2,71,1
378,2,132,1
379,2,861,1
380,2,767,1
381,2,843,1
382,2,269,1
383,2,798,1
384,2,888,1
385,2,310,1
386,2,852,1
387,2,521,1
388,2,830,1
389,2,247,1
390,2,1188,1
391,2,285,1
392,2,1100,1
393,2,797,1
394,2,1066,1
395,2,663,1
396,2,442,1
397,2,856,1
398,2,64,1
399,2,908,1
400,2,1194,1
401,2,495,1
402,2,731,1
403,2,370,1
404,2,846,1
405,2,949,1
406,2,892,1
407,2,1149,1
408,2,589,1
409,2,57,1
410,2,118,1
411,2,1070,1
412,2,901,1
413,2,380,1
414,2,1152,1
415,2,100,1
416,2,496,1
417,2,65,1
418,2,588,1
419,2,559,1
420,2,121,1
421,2,246,1
422,2,307,1
423,2,84,1
424,2,542,1
425,2,427,1
426,2,326,1
427,2,397,1
428,2,391,1
429,2,318,1
430,2,438,1
431,2,37,1
432,2,261,1
433,2,988,1
434,2,392,1
435,2,153,1
436,2,44,1
437,2,831,1
438,2,751,1
439,2,989,1
440,2,549,1
441,2,299,1
442,2,932,1
443,2,168,1
444,2,783,1
445,2,795,1
446,2,712,1
447,2,1132,1
448,2,632,1
449,2,1081,1
450,2,720,1
451,2,1162,1
452,2,372,1
453,2,519,1
454,2,1095,1
455,2,897,1
456,2,778,1
457,2,362,1
458,2,473,1
459,2,296,1
460,2,1085,1
461,2,278,1
462,2,849,1
463,2,891,1
464,2,582,1
465,2,174,1
466,2,629,1
467,2,486,1
468,2,907,1
469,2,401,1
470,2,429,1
471,2,871,1
472,2,1195,1
473,2,690,1
474,2,1147,1
475,2,14,1
476,2,713,1
477,2,1189,1
