,TF,Target,Label
0,17,739,1
1,17,299,1
2,17,961,1
3,17,533,1
4,17,371,1
5,17,903,1
6,17,846,1
7,17,762,1
8,17,960,1
9,17,937,1
10,17,1069,1
11,17,246,1
12,17,699,1
13,17,741,1
14,17,996,1
15,17,489,1
16,17,1024,1
17,17,984,1
18,17,175,1
19,17,99,1
20,17,603,1
21,17,884,1
22,17,823,1
23,17,761,1
24,17,827,1
25,17,438,1
26,17,112,1
27,17,628,1
28,17,853,1
29,17,675,1
30,17,145,1
31,17,375,1
32,17,1023,1
33,17,64,1
34,17,894,1
35,17,748,1
36,17,828,1
37,17,816,1
38,17,502,1
39,17,660,1
40,17,321,1
41,17,636,1
42,17,707,1
43,17,196,1
44,17,293,1
45,17,852,1
46,17,649,1
47,17,993,1
48,17,763,1
49,17,711,1
50,17,446,1
51,17,952,1
52,17,863,1
53,17,1118,1
54,17,774,1
55,17,652,1
56,17,1090,1
57,17,708,1
58,17,860,1
59,17,261,1
60,17,970,1
61,17,49,1
62,17,924,1
63,17,574,1
64,17,905,1
65,17,948,1
66,17,576,1
67,17,705,1
68,17,629,1
69,17,700,1
70,17,1026,1
71,17,788,1
72,17,751,1
73,17,1128,1
74,17,779,1
75,17,410,1
76,17,422,1
77,17,118,1
78,17,12,1
79,17,121,1
80,17,33,1
81,17,266,1
82,17,412,1
83,17,70,1
84,17,940,1
85,17,1060,1
86,17,617,1
87,17,343,1
88,17,818,1
89,17,418,1
90,17,416,1
91,17,917,1
92,17,451,1
93,17,950,1
94,17,1010,1
95,17,815,1
96,17,154,1
97,17,500,1
98,17,380,1
99,17,627,1
100,17,807,1
101,17,474,1
102,17,493,1
103,17,1061,1
104,17,373,1
105,17,492,1
106,17,614,1
107,17,396,1
108,17,317,1
109,17,1019,1
110,17,231,1
111,17,387,1
112,17,432,1
113,17,890,1
114,17,983,1
115,17,134,1
116,17,265,1
117,17,632,1
118,17,1003,1
119,17,713,1
120,17,192,1
121,17,538,1
122,17,345,1
123,17,564,1
124,17,545,1
125,17,626,1
126,17,76,1
127,17,867,1
128,17,1047,1
129,17,19,1
130,17,125,1
131,17,870,1
132,17,809,1
133,17,359,1
134,17,115,1
135,17,4,1
136,17,735,1
137,17,209,1
138,17,151,1
139,17,351,1
140,17,352,1
141,17,978,1
142,17,22,1
143,17,408,1
144,17,357,1
145,17,1127,1
146,17,185,1
147,17,183,1
148,17,162,1
149,17,650,1
150,17,488,1
151,17,688,1
152,17,256,1
153,17,452,1
154,17,60,1
155,17,613,1
156,17,530,1
157,17,671,1
158,17,849,1
159,17,434,1
160,17,856,1
161,17,1030,1
162,17,1002,1
163,17,644,1
164,17,166,1
165,17,582,1
166,17,249,1
167,17,880,1
168,17,362,1
169,17,291,1
170,17,167,1
171,17,842,1
172,17,277,1
173,17,554,1
174,17,1008,1
175,17,365,1
176,17,1050,1
177,17,315,1
178,17,826,1
179,17,918,1
180,17,247,1
181,17,930,1
182,17,254,1
183,17,140,1
184,17,1130,1
185,17,1066,1
186,17,795,1
187,17,328,1
188,17,225,1
189,17,179,1
190,17,471,1
191,17,588,1
192,17,747,1
193,17,593,1
194,17,662,1
195,17,706,1
196,17,524,1
197,17,1110,1
198,17,943,1
199,17,621,1
200,17,1112,1
201,17,1067,1
202,17,30,1
203,17,620,1
204,17,197,1
205,17,333,1
206,17,847,1
207,17,756,1
208,17,803,1
209,17,195,1
210,17,568,1
211,17,476,1
212,17,743,1
213,17,308,1
214,17,240,1
215,17,944,1
216,17,430,1
217,17,786,1
218,17,324,1
219,17,1035,1
220,17,93,1
221,17,267,1
222,17,120,1
223,17,316,1
224,17,103,1
225,17,889,1
226,17,821,1
227,17,264,1
228,17,330,1
229,17,858,1
230,17,84,1
231,17,678,1
232,17,1,1
233,17,275,1
234,17,478,1
235,17,273,1
236,17,407,1
237,17,721,1
238,17,829,1
239,17,1022,1
240,17,557,1
241,17,830,1
242,17,745,1
243,17,290,1
244,17,912,1
245,17,161,1
246,17,448,1
247,17,1025,1
248,17,979,1
249,17,347,1
250,17,469,1
251,17,1064,1
252,17,150,1
253,17,284,1
254,17,346,1
255,17,336,1
256,17,28,1
257,17,503,1
258,17,443,1
259,17,519,1
260,17,89,1
261,17,727,1
262,17,543,1
263,17,341,1
264,17,523,1
265,17,840,1
266,17,1123,1
267,17,132,1
268,17,481,1
269,17,226,1
270,17,618,1
271,17,534,1
272,17,790,1
273,17,796,1
274,17,406,1
275,17,552,1
276,17,386,1
277,17,344,1
278,17,87,1
279,17,1083,1
280,17,106,1
281,17,909,1
282,17,152,1
283,17,271,1
284,17,752,1
285,17,110,1
286,17,974,1
287,17,957,1
288,17,517,1
289,17,296,1
290,17,283,1
291,17,401,1
292,17,263,1
293,17,1080,1
294,17,232,1
295,17,767,1
296,17,433,1
297,17,1029,1
298,17,230,1
299,17,391,1
300,17,424,1
301,17,124,1
302,17,411,1
303,17,237,1
304,17,403,1
305,17,276,1
306,17,198,1
307,17,1124,1
308,17,379,1
309,17,377,1
310,17,214,1
311,17,813,1
312,17,758,1
313,17,320,1
314,17,29,1
315,17,38,1
316,17,511,1
317,17,1056,1
318,17,885,1
319,17,879,1
320,17,182,1
321,17,461,1
322,17,869,1
323,17,605,1
324,17,149,1
325,17,280,1
326,17,622,1
327,17,311,1
328,17,991,1
329,17,836,1
330,17,499,1
331,17,612,1
332,17,374,1
333,17,923,1
334,17,859,1
335,17,404,1
336,17,285,1
337,17,464,1
338,17,116,1
339,17,669,1
340,17,437,1
341,17,223,1
342,17,812,1
343,17,749,1
344,17,610,1
345,17,369,1
346,17,935,1
347,17,305,1
348,17,801,1
349,17,888,1
350,17,633,1
351,17,426,1
352,17,48,1
353,17,51,1
354,17,490,1
355,17,295,1
356,17,307,1
357,17,130,1
358,17,595,1
359,17,383,1
360,17,31,1
361,17,466,1
362,17,465,1
363,17,213,1
364,17,837,1
365,17,733,1
366,17,322,1
367,17,417,1
368,17,358,1
369,17,857,1
370,17,1092,1
371,17,765,1
372,17,986,1
373,17,53,1
374,17,532,1
375,17,654,1
376,17,670,1
377,17,262,1
378,17,1100,1
379,17,409,1
380,17,405,1
381,17,202,1
382,17,668,1
383,17,882,1
384,17,537,1
385,17,989,1
386,17,211,1
387,17,94,1
388,17,1048,1
389,17,571,1
390,17,520,1
391,17,1005,1
392,17,11,1
393,17,268,1
394,17,281,1
395,17,604,1
396,17,282,1
397,17,1006,1
398,17,142,1
399,17,158,1
400,17,843,1
401,17,138,1
402,17,473,1
403,17,194,1
404,17,719,1
405,17,672,1
406,17,728,1
407,17,546,1
408,17,1028,1
409,17,187,1
410,17,1119,1
411,17,477,1
412,17,1082,1
413,17,95,1
414,17,941,1
415,17,109,1
416,17,528,1
417,17,450,1
418,17,646,1
419,17,866,1
