,TF,Target,Label
0,14,136,1
1,14,61,1
2,14,326,1
3,14,453,1
4,14,410,1
5,14,389,1
6,14,199,1
7,14,542,1
8,14,166,1
9,14,149,1
10,14,221,1
11,14,364,1
12,14,347,1
13,14,30,1
14,14,360,1
15,14,495,1
16,14,454,1
17,14,558,1
18,14,470,1
19,14,439,1
20,14,260,1
21,14,533,1
22,14,120,1
23,14,396,1
24,14,507,1
25,14,293,1
26,14,464,1
27,14,170,1
28,14,243,1
29,14,299,1
30,14,169,1
31,14,55,1
32,14,390,1
33,14,320,1
34,14,353,1
35,14,491,1
36,14,440,1
37,14,257,1
38,14,70,1
39,14,417,1
40,14,477,1
41,14,541,1
42,14,387,1
43,14,65,1
44,14,83,1
45,14,32,1
46,14,538,1
47,14,433,1
48,14,182,1
49,14,329,1
50,14,133,1
51,14,247,1
52,14,82,1
53,14,151,1
54,14,126,1
55,14,503,1
56,14,223,1
57,14,135,1
58,14,509,1
59,14,49,1
60,14,363,1
61,14,146,1
62,14,351,1
63,14,400,1
64,14,492,1
65,14,29,1
66,14,180,1
67,14,34,1
68,14,282,1
69,14,174,1
70,14,214,1
71,14,97,1
72,14,200,1
73,14,57,1
74,14,505,1
75,14,229,1
76,14,476,1
77,14,9,1
78,14,93,1
79,14,245,1
80,14,102,1
81,14,280,1
82,14,123,1
83,14,241,1
84,14,451,1
85,14,336,1
86,14,528,1
87,14,372,1
88,14,381,1
89,14,367,1
90,14,85,1
91,14,466,1
92,14,46,1
93,14,272,1
94,14,264,1
95,14,392,1
96,14,79,1
97,14,13,1
98,14,160,1
99,14,463,1
100,14,517,1
101,14,47,1
102,14,309,1
103,14,478,1
104,14,286,1
105,14,385,1
106,14,550,1
107,14,487,1
108,14,284,1
109,14,111,1
110,14,109,1
111,14,379,1
112,14,137,1
113,14,250,1
114,14,371,1
115,14,346,1
116,14,210,1
117,14,127,1
118,14,89,1
119,14,519,1
120,14,365,1
121,14,328,1
122,14,238,1
123,14,158,1
124,14,224,1
125,14,532,1
126,14,483,1
127,14,164,1
128,14,465,1
