Gene1,Gene2
AATF,CDKN1A
AATF,MYC
AATF,TP53
AES,LEF1
AES,RND3
AHR,BRCA1
AHR,CCND1
AHR,CCNG2
AHR,CYP1B1
AHR,MYC
AHR,PCNA
AHR,RFC3
AHR,AIP
AIP,TFF1
APBB1,GMPS
AMHR2,APC
APC,BIRC5
APC,DNMT1
APC,MYC
APC,ODC1
APC,SGK1
APEX1,CCL2
AKR1C3,AR
AR,ARG2
AR,BTG1
AR,BTG2
AR,CDC6
AR,CDH11
AR,CDH2
AR,CDK6
AR,CDKN1A
AR,CTNNB1
AR,EGFR
AR,ETV1
AR,FN1
AR,FOXA1
AR,HMMR
AR,IFI16
AR,IGF1R
AR,JUN
AR,KLF5
AR,MID1
AR,MYC
AR,NKX3-1
AR,PNRC1
AR,REST
AR,TRPS1
AR,VIM
AR,WEE1
ARID3A,CDC6
ARID3A,CDK1
AK4,ATF3
ASNS,ATF3
ATF3,DDIT3
ATF3,ID1
ATF3,MMP2
ATF3,PENK
ATF3,TP53
ATF6,DDIT3
ATF6,SRF
ATF6,XBP1
BDP1,MYC
BDP1,TP53
BIN1,MYC
BRCA1,BRCA2
BRCA1,CCNB1
BRCA1,CCND1
BRCA1,CDKN1A
BRCA1,CYP1B1
BRCA1,DDB2
BRCA1,DDIT3
BRCA1,EGFR
BRCA1,EGR1
BRCA1,FST
BRCA1,HIF1A
BRCA1,HMGA2
BRCA1,IGF1R
BRCA1,IRF9
BRCA1,KHSRP
BRCA1,MAD2L1
BRCA1,MYC
BRCA1,SIRT1
BRCA1,STAT2
BRCA1,STAT3
BRCA1,TFF1
BRCA2,RAD51
BRIP1,MLH1
BTF3,EPHB2
BTF3,RRAS2
BTG2,CCND1
ACAT2,CDX2
APC,CDX2
CDKN1A,CDX2
CDX2,CFTR
CDX2,MEP1A
AFP,CEBPA
ALB,CEBPA
CCL2,CEBPA
CEBPA,FN1
CEBPA,HSD17B11
CEBPA,ID1
CEBPA,MYC
CEBPA,PCK2
CEBPA,SLC10A1
CEBPA,SPP1
CEBPA,STAT3
C3,CEBPD
CEBPD,DDIT3
CEBPD,PDGFRA
CEBPD,POU5F1
APC,CEBPZ
CEBPZ,COL11A1
CEBPZ,COL1A2
CEBPZ,MLH1
BRCA1,CHD8
CCNE2,CHD8
CHD8,MYC
CHD8,TYMS
CIITA,COL1A1
CIITA,COL1A2
CIITA,HLA-DQB1
CIITA,HLA-DRB1
CIITA,HLA-DRB5
CIITA,IRF1
CIITA,SIRT1
CNBP,MYC
CNOT7,PMP22
AR,CREB1
CREB1,CXCR4
CREB1,ETV3
CREB1,FOXA1
CREB1,GRPR
CREB1,HLA-DQB1
CREB1,JUN
CREB1,LAPTM4B
CREB1,MITF
CREB1,MMP2
CREB1,NDC80
CREB1,NR2F6
CREB1,NR5A2
CREB1,NTS
CREB1,ODC1
CREB1,PLAU
CREB1,POLD2
CREB1,PSEN1
CREB1,RRM2B
CREB1,SLC39A1
CREB1,SMAD6
CREB1,SNAI1
CREB1,SNAI2
CREB1,SPRY2
CREB1,STMN1
BRCA1,CTBP1
BRCA2,CTBP1
CLDN7,CTBP1
BIRC5,CTNNB1
CCND1,CTNNB1
CTNNB1,FST
CTNNB1,GLI2
CTNNB1,JUN
CTNNB1,MYC
CTNNB1,VIM
CFTR,CUX1
CUX1,ECT2
CUX1,WNT5A
AIRE,DAXX
ANKRD1,DDIT3
ASNS,DDIT3
ATG5,DDIT3
CEBPA,DDIT3
DDIT3,SIRT1
DDIT3,SIRT2
DDIT3,TF
DEK,HLA-DQB1
BIRC5,DNMT1
BMP2,DNMT1
CXCR4,DNMT1
DNMT1,EPCAM
DNMT1,GAD1
DNMT1,HDAC1
DNMT1,IL32
DNMT1,MSH2
DNMT1,PROM1
DNMT1,SFRP1
DNMT1,TIMP3
DNMT1,TP53
CDKN1A,DNMT3A
DNMT3A,POU5F1
DNMT3A,SFRP1
AURKA,E2F3
CCNA2,E2F3
CCNB1,E2F3
CDC6,E2F3
CDK1,E2F3
CDKN1A,E2F3
CUX1,E2F3
E2F3,PLK1
E2F3,TFE3
AR,E2F4
AURKB,E2F4
BIRC5,E2F4
BRCA1,E2F4
CCNB1,E2F4
CCND1,E2F4
CUX1,E2F4
E2F4,HCFC1
E2F4,MCM10
E2F4,MYC
E2F4,PLK1
E2F4,RAD51
E2F4,TTK
E2F5,MYC
CCND1,E2F8
AKR1B1,EGR1
AR,EGR1
ATF3,EGR1
CCND1,EGR1
CDKN1A,EGR1
EGFR,EGR1
EGR1,F3
EGR1,FGF2
EGR1,FN1
EGR1,GGPS1
EGR1,HIF1A
EGR1,PLAU
