Gene1,Gene2
ABL1,TRP53
AEBP2,JARID2
AHR,VAV3
APBB1,NOTCH1
APEX1,NFKB1
APEX1,RELA
APEX1,TLR4
ARL6IP5,PARP1
ATF2,CEBPA
ATF2,FOS
ATF2,PER1
ATF2,RELA
ATF2,TNF
ATF3,SORT1
ATF4,CDKN1A
ATF4,HSPA5
ATF4,MCM7
ATF4,TRIB3
ATF6,HSPA5
BACH1,TRP53
BATF2,TNF
BATF3,IRF8
BMI1,CDK1
BMI1,CDKN1A
BMI1,IKZF1
BMI1,NFKB1
CD7,NFKB1
BCL2,CEBPA
CEBPA,CFLAR
CEBPA,CLU
CEBPA,ELANE
CEBPA,NFKB1
CEBPA,PRTN3
CEBPA,SPI1
CEBPA,ZBTB16
CHD4,ID2
CHD4,JUN
CHD7,MYCN
CIITA,NFATC1
CNOT7,TOB1
CREB3,HERPUD1
BCL2,CREBBP
BIRC5,CREBBP
CREBBP,ESR1
CREBBP,FOS
CREBBP,FOSB
CREBBP,FTH1
CREBBP,LDHA
CREBBP,MED1
CREBBP,MT1
CREBBP,NFKB1
CREBBP,PER1
CREBBP,TNF
CREBBP,TRP53
BIRC5,CTNNB1
CASP3,CTNNB1
CCNE1,CTNNB1
CTNNB1,MITF
CTNNB1,MYC
CTNNB1,MYCN
CTNNB1,PML
CTNNB1,RUNX2
DACH1,KLF4
CDKN1A,DNMT1
DNMT1,MT1
DNMT1,TRP53
DNMT3A,MDM2
DNMT3A,MT1
DNMT3A,RB1
E2F4,MAP1LC3B
E2F4,MYCN
E2F4,RAD51
E2F4,RB1
E2F4,STMN1
BIRC5,EGR1
CDKN1C,EGR1
CREBBP,EGR1
CXCL2,EGR1
EGR1,ENO1
EGR1,F3
EGR1,GADD45B
EGR1,ICAM1
EGR1,ID3
EGR1,IL1B
EGR1,JUN
EGR1,LTB
EGR1,MAP1LC3B
EGR1,MAPK14
EGR1,NDRG1
EGR1,NR4A1
EGR1,TK1
EGR1,TNF
EGR1,TRP53
EGR1,IL12A
EGR2,ID2
EGR2,ZBTB16
CDKN1A,EHMT2
CD1D1,ELF1
CSF1R,ELF1
DNTT,ELF1
ELF1,FCER1G
ELF1,FLI1
ELF1,TOLLIP
ELF4,TRP53
ABCG2,EPAS1
EFNA1,EPAS1
EPAS1,RUNX2
CISH,EPOR
CASP12,ESR1
CDKN1A,ESR1
ESR1,FOS
ESR1,IGF1
ESR1,MYC
ESR1,NRF1
ESR1,PIK3R1
ESR1,PTGS1
ESR1,STAT3
CSF1R,ETS1
CSF3R,ETS1
ETS1,PF4
EBF1,ETS1
EGR1,ETS1
ETS1,FLI1
ETS1,FOS
ETS1,IGHM
ETS1,IKZF1
ETS1,IL7R
ETS1,PCYT1A
ETS1,RUNX2
ETS1,SELL
ETS1,SPP1
ETS1,TLR4
ETS1,VWF
CSF1R,ETS2
CSF3R,ETS2
DUSP6,ETS2
EGR1,ETS2
ETS2,FLI1
ETS2,HMOX2
ETS2,JUN
ETS2,KIT
ETS2,MDM2
ETS2,PCYT1A
EWSR1,UPP1
EYA2,MTOR
CCNA2,EZH2
EZH2,TRP53
EZH2,FLI1
FLI1,RB1
FLI1,UPP1
EGR1,FOS
FOS,H2-K1
FOS,JUN
FOS,KRT18
FOS,MT1
FOS,NFATC1
FOS,NFE2L2
FOS,NR3C1
FOS,PDPN
FOS,SPI1
FOS,TINAGL1
FOS,TRP53
FOS,FOSB
FOSL2,RELB
FOSL2,TCIRG1
FOXJ3,MEF2C
AKT1,FOXO1
CCNG2,FOXO1
CCR2,FOXO1
CCR7,FOXO1
CDKN1A,FOXO1
EGR1,FOXO1
FOXO1,IKZF1
FOXO1,IL7R
FOXO1,LPL
FOXO1,PIK3R1
FOXO1,PPARGC1A
FOXO1,RUNX2
FOXO1,SELL
FOXO1,TRIB3
CDC6,GATA1
GATA1,PF4
FCER1G,GATA1
FLI1,GATA1
GATA1,NFE2
GATA1,SPI1
GATA1,ZBTB7A
CEBPA,GATA2
GATA2,SPI1
CDKN1A,GFI1
ELANE,GFI1
GFI1,GFI1B
GFI1,ID2
GFI1,IL7R
GFI1,SPI1
GFI1,ZBTB16
ELF4,GFI1B
GFI1B,MEIS1
GFI1B,RAG2
CFDP1,GTF2I
FOS,GTF2I
GTF2I,HSPA5
GTF2I,NSD1
HCFC1,RB1
CDKN1A,HDAC1
HDAC1,JUN
HDAC1,NFKBIA
HDAC1,RBL2
HDAC1,SP1
HDAC1,SPP1
CCNE1,HDAC2
CDKN1A,HDAC2
HDAC2,NFKBIA
HDAC2,SMARCA4
FAM162A,HIF1A
BACE1,HIF1A
CREBBP,HIF1A
HIF1A,MT1
HIF1A,PFKFB3
HMGA1,RAG2
HMGB2,RUNX2
CEBPA,HNF4A
GSTP1,HNF4A
HNF4A,PKLR
HNF4A,PPARGC1A
FLT3,HOXA9
HOXA9,MYB
HOXA9,SPP1
HTATIP2,IGF1
HTATIP2,MYC
CCNA2,ID2
ID2,RUNX2
ID2,SPI1
ID2,TPT1
ID2,ZBTB16
ID3,NOTCH1
ID3,RUNX2
IKZF1,IL7R
IKZF1,MYC
IKZF1,NOTCH1
CCNE1,ILF3
CDKN1A,IRF1
CIITA,IRF1
GBP2,IRF1
IL12A,IRF1
IRF1,MAPK14
IRF1,MYD88
IRF1,SELL
IRF1,TNF
IRF1,UPP1
IL1B,IRF4
IRF4,NFATC2
IRF4,SPI1
IRF4,ZBTB20
ABL1,IRF8
C1QB,IRF8
CFLAR,IRF8
DAB2,IRF8
IL12A,IRF8
IL1B,IRF8
IRF8,SPI1
IRF8,TNF
IRF7,IRF9
JARID2,NOTCH1
ALDH1A1,JUN
ASAH1,JUN
CD14,JUN
CSF1R,JUN
CTSE,JUN
CXCL1,JUN
CXCL2,JUN
ESR1,JUN
GCLC,JUN
ICAM1,JUN
IL1B,JUN
JUN,KRT18
JUN,MMP12
JUN,MSR1
JUN,NFE2L2
JUN,NFKB1
JUN,NR3C1
JUN,ODC1
JUN,PLAUR
JUN,PLIN2
JUN,RELB
JUN,SPI1
JUN,SPP1
JUN,TNF
JUN,TRP53
KLF10,MYCN
KLF10,SMAD2
KLF4,RLIM
ASAH1,KLF6
CDKN1A,KLF6
KLF4,KPNA2
IGF1,LDB1
LDB1,RUNX1
EGR1,MAPK1
MDM2,TRP53
FABP4,MED8
COX6A1,MEF2A
MEF2A,NRF1
MEF2A,PPARGC1A
CALR,MEF2C
IL1RN,MEF2C
JUN,MEF2C
MEF2C,RUNX2
MEF2C,SOCS2
MEIS1,PF4
FLT3,MEIS1
CDKN1A,MITF
FOS,MITF
IRF4,MITF
MITF,OSTM1
MITF,PIK3R1
MITF,SDC1
CDKN1A,MYB
CSF1R,MYB
CSF3R,MYB
KIT,MYB
MYB,MYC
MYB,PRTN3
MYB,RAG2
BCL2,MYC
CAD,MYC
CAR1,MYC
CCNB1,MYC
CDCA7,MYC
CDKN1A,MYC
EIF4E,MYC
EZH2,MYC
HDAC2,MYC
HNRNPA2B1,MYC
MYC,NDRG1
MYC,NFIA
MYC,ODC1
MYC,PDGFRB
MYC,PTMA
MYC,RHOA
MYC,SUZ12
MYC,TRP53
MYC,ZFP36
HDAC2,MYCN
MYCN,NDRG1
MYCN,PTDSS1
MYCN,SMAD4
KLF4,NCOA3
NCOA3,NFKBIA
FOS,NCOA6
NCOR1,NFKBIA
NCOR2,NFKBIA
CDK1,NDN
MYC,NDN
AKR1B3,NFAT5
BCL2,NFAT5
NFAT5,VEGFC
NFATC1,PAG1
BACE1,NFATC2
BCL2A1A,NFATC2
CCNA2,NFATC2
CCR9,NFATC2
ICOS,NFATC2
NFATC1,NFATC2
NFATC2,TNF
HMBS,NFE2
NFE2,TNF
NFE2,TYMS
AKR1B3,NFE2L2
BCL2,NFE2L2
CD36,NFE2L2
COX17,NFE2L2
GCLC,NFE2L2
MCM7,NFE2L2
MDM2,NFE2L2
MGST1,NFE2L2
MT1,NFE2L2
NFATC1,NFE2L2
NFE2L2,NFKB1
NFE2L2,PRDX1
NFE2L2,PRDX2
NFE2L2,RUNX2
NFE2L2,SCARB1
NFE2L2,SLC40A1
NFE2L2,SLC7A11
NFE2L2,SOD2
NFE2L2,SQSTM1
NFE2L2,TXNIP
IL1RN,NFE2L2
ABCB4,NFIL3
ID2,NFIL3
ADORA2A,NFKB1
AKT1,NFKB1
APOE,NFKB1
BCL2,NFKB1
BCL2A1D,NFKB1
BIN1,NFKB1
BTK,NFKB1
CCL9,NFKB1
CD38,NFKB1
CDKN1A,NFKB1
CFLAR,NFKB1
CTNNB1,NFKB1
CXCL1,NFKB1
CXCL2,NFKB1
DUSP1,NFKB1
EBI3,NFKB1
EGR2,NFKB1
EPAS1,NFKB1
FOS,NFKB1
FTH1,NFKB1
GADD45B,NFKB1
GLRX,NFKB1
IL12A,NFKB1
IL15,NFKB1
IL1A,NFKB1
IL1B,NFKB1
IRF4,NFKB1
ITGAM,NFKB1
JUNB,NFKB1
MAPK14,NFKB1
MYB,NFKB1
MYC,NFKB1
NFKB1,NFKBIA
NFKB1,NFKBIZ
NFKB1,NRF1
NFKB1,PER1
NFKB1,PIRB
NFKB1,PLAUR
NFKB1,PLIN2
NFKB1,PPARGC1A
NFKB1,PRODH
NFKB1,PSME2
NFKB1,PTGS1
NFKB1,REL
NFKB1,RELB
NFKB1,SOD2
NFKB1,STAT1
NFKB1,TAPBP
NFKB1,TEC
NFKB1,THRB
NFKB1,TLR2
NFKB1,TLR4
NFKB1,TNF
NFKB1,TNFAIP3
NFKB1,TRP53
NFKB1,UPP1
NFKB1,VEGFC
BIRC5,NFKB1
CASP3,NOTCH1
CCNE1,NOTCH1
CDKN1A,NOTCH1
CTNNB1,NOTCH1
GATA2,NOTCH1
NFKB1,NOTCH1
NOTCH1,RBPJ
NOTCH1,RUNX2
NOTCH1,SPI1
ESR1,NR2C1
GATA1,NR2C1
CDK6,NR3C1
NFKBIA,NR3C1
NR3C1,RUNX2
NR3C1,VDR
MLLT3,NR3C2
NR3C2,SGK1
NR3C2,TSC22D3
CD47,NRF1
COX17,NRF1
COX4I1,NRF1
FCGR3,NRF1
IL1RN,NRF1
KIF17,NRF1
MT1,NRF1
NR3C1,NRF1
CCNA2,NUPR1
NUPR1,TCF19
NFKB1,PARP1
PARP1,RELA
PBX1,PF4
PCBP2,TRP53
BHLHE40,PER1
CREM,PER1
EGR1,PER1
FXYD5,PER1
ESR1,PGR
NFKBIA,PGR
PGR,PTGER2
EGR1,PLAG1
PLAG1,TRP53
MDM2,PML
NRF1,PPARGC1A
PWP1,STAT3
JUN,RARB
ATF2,RB1
BIN1,RB1
BIRC5,RB1
CDKN1A,RB1
DNMT1,RB1
ELF1,RB1
FOS,RB1
JUN,RB1
RB1,SP1
RB1,SPI1
BIRC5,RBL2
CCNA2,RBL2
PCNA,RBL2
RAD51,RBL2
RBL2,STMN1
BIRC5,RBPJ
CDKN1A,RBPJ
FOS,RBPJ
NFATC1,RBPJ
PLCG2,RBPJ
RBPJ,RLIM
RBPJ,TYROBP
BCL2A1D,REL
EZH2,REL
IL12A,REL
IL1B,REL
MYC,REL
REL,RORC
REL,SOD2
REL,TNF
REL,TNFAIP3
AKT1,RELA
APOE,RELA
BCL2,RELA
BCL2A1D,RELA
CD38,RELA
CFLAR,RELA
DNMT1,RELA
EBI3,RELA
EPAS1,RELA
FOS,RELA
FTH1,RELA
ICAM1,RELA
IRF4,RELA
ITCH,RELA
MYC,RELA
NFKB1,RELA
NRF1,RELA
PECAM1,RELA
PSME2,RELA
RELA,RORC
RELA,SOD2
RELA,TEC
RELA,TLR2
